date,scd_births_per_1000,scd_prevalence_us,new_treatments_approved,clinical_trials_active,population_mesh_id,population_mesh_label,population_snomed_id,population_snomed_label,population_icd10_code,population_icd10_label,disease_id
2015-12-31,2.74,96300,0,10,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,scd
2016-12-31,2.74,96900,0,10,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,scd
2017-12-31,2.74,97500,1,10,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,scd
2018-12-31,2.74,98100,0,10,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,scd
2019-12-31,2.74,98700,2,10,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,scd
2020-12-31,2.74,99300,0,10,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,scd
2021-12-31,2.74,99600,0,10,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,scd
2022-12-31,2.74,99900,0,10,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,scd
2023-12-31,2.74,100500,0,10,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,scd
2024-12-31,2.74,101100,0,10,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,scd
