nct_id,title,status,phase,start_date,completion_date,enrollment,sponsor_name,sponsor_type,outcome,disease_id,condition_mesh_id,condition_mesh_label,condition_snomed_id,condition_snomed_label,condition_icd10_code,condition_icd10_label,indication_disambiguation,indication_query
NCT01908868,A Trial of EBUS-TBNA Versus Conventional TBNA in Diagnosis of Sarcoidosis,COMPLETED,NA,2011-11,2012-12,130,"Post Graduate Institute of Medical Education and Research, Chandigarh",OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT00073437,A Study of Infliximab in Patients With Sarcoidosis,COMPLETED,Phase 3,2003-10,2005-02,139,"Centocor, Inc.",INDUSTRY,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT05567133,Risk Indicators of Sarcoidosis Evolution-Unified Protocol,RECRUITING,,2023-01-10,2030-03-30,200,"University of California, San Francisco",OTHER,Ongoing,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT01615484,Ex-vivo Perfusion and Ventilation of Lungs Recovered From Non-Heart-Beating Donors to Assess Transplant Suitability,COMPLETED,NA,2013-09,2017-01,24,"University of North Carolina, Chapel Hill",OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT06220526,Comparing Menghini-type Needle and Franseen-type Needle in EBUS-TBNA for Sarcoidosis,RECRUITING,NA,2023-08-18,2027-02-28,128,"University Health Network, Toronto",OTHER,Ongoing,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT01467791,Registry of Sarcoidosis Associated Pulmonary Hypertension (RESAPH),UNKNOWN,,2011-11,2018-01,300,University of Cincinnati,OTHER,Unknown,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT00402623,The Effect of Quercetin in Sarcoidosis,COMPLETED,NA,2006-01,2006-01,18,Maastricht University Medical Center,OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT06025578,"A Study to Evaluate the Efficacy, Safety, and Tolerability of BMS-986278 in Participants With Progressive Pulmonary Fibrosis",ACTIVE_NOT_RECRUITING,Phase 3,2023-10-25,2027-12-27,1057,Bristol-Myers Squibb,INDUSTRY,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT02024555,"Phase II Investigation of Antimycobacterial Therapy on Progressive, Pulmonary Sarcoidosis",COMPLETED,Phase 2,2014-03,2019-04-01,97,Vanderbilt University,OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT00626938,Role of Proteomics in Diagnosing Sarcoidosis,COMPLETED,,2005-03,2012-03,1000,Maastricht University Medical Center,OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT05689879,Evaluation of TNF-alpha Antagonists (Infliximab) Withdrawal in Sarcoidosis,ACTIVE_NOT_RECRUITING,Phase 3,2023-03-23,2027-01-12,32,Assistance Publique - Hôpitaux de Paris,OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT07498842,Corticosteroid Tapering in Sarcoidosis,RECRUITING,NA,2026-03-19,2027-10-18,100,Royal Brompton & Harefield NHS Foundation Trust,OTHER,Ongoing,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT00918554,Efficacy Study of Methotrexate to Treat Sarcoid-associated Uveitis,TERMINATED,Phase 4,2009-09,2010-08,7,Assistance Publique - Hôpitaux de Paris,OTHER,Failure,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT02627209,The Serum Angiotensin Converting Enzyme and Lysozyme Levels in Patients Non-infectious and Infectious Uveitis,UNKNOWN,NA,2014-06,2017-01,280,Ozlem Sahin,OTHER,Unknown,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT03057002,UTSW HP [13-C] Pyruvate Injection in HCM,COMPLETED,,2018-05-01,2023-05-17,7,University of Texas Southwestern Medical Center,OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT04109911,Effect of Fermented Oyster Extract on Musculoskeletal Biomarkers in Relative Sarcopenia Adults,COMPLETED,NA,2019-09-25,2020-12-31,54,Pusan National University Yangsan Hospital,OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT01857401,Development of a Novel Human In Vitro Sarcoidosis Model,COMPLETED,,2012-12-19,2017-02-02,60,Elliott Crouser MD,OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT01210677,Cardiac Sarcoidosis Response To Steroids Trial,WITHDRAWN,Phase 4,2014-04,2016-12,0,Ottawa Heart Institute Research Corporation,OTHER,Failure,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT00379275,Eye and Immunogenetic Features of Sarcoidosis,COMPLETED,,2006-09-18,2007-12-10,100,National Eye Institute (NEI),NIH,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT01074554,Trial of Antimycobacterial Therapy in Sarcoidosis,COMPLETED,Phase 1; Phase 2,2010-02,2011-02,30,Vanderbilt University,OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT03473964,(ACTH) for the Treatment of Sarcoid Uveitis,UNKNOWN,,2018-04-01,2020-01,10,"John Huang, MD",OTHER,Unknown,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT05291468,the PHENOSAR Trial: Use of Antibiotics in Treatment of Sarcoidosis,ACTIVE_NOT_RECRUITING,NA,2023-02-15,2026-12-01,40,St. Antonius Hospital,OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT05145023,Development and Validation of a Health-related Quality of Life Tool for Patients With Cardiac Sarcoidosis,COMPLETED,,2021-11-11,2025-12-31,130,Queen Mary University of London,OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT01955824,A Trial on Clinical Efficacy of 1% Versus 2% Lignocaine in Cough Suppression and Pain Relief in Patients Undergoing Flexible Bronchoscopy,COMPLETED,Phase 2; Phase 3,2014-05,2014-11,500,"Post Graduate Institute of Medical Education and Research, Chandigarh",OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT03814317,Inhaled Treprostinil in Sarcoidosis Patients With Pulmonary Hypertension,COMPLETED,Phase 2,2020-01-30,2025-12-31,5,University of Florida,OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT04173689,The Effect of Inspiratory Muscle Training and Breathing Exercises Combined With Upper Extremity and Trunk in Patients With Sarcoidosis,COMPLETED,NA,2020-01-15,2021-06-30,24,Istanbul University - Cerrahpasa,OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT06113991,Study Comparing Chronic Beryllium Disease to Pulmonary Sarcoidosis,UNKNOWN,,2023-06-14,2023-12-14,200,Assistance Publique - Hôpitaux de Paris,OTHER,Unknown,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT00001278,Study of Eye Tissue for Sarcoidosis,COMPLETED,,1991-05,2001-04,30,National Eye Institute (NEI),NIH,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT04318392,Breath Analysis in Patients With Suspected Sarcoidosis: The VOCs-IS Study,COMPLETED,,2018-10-01,2021-10-08,54,Manchester University NHS Foundation Trust,OTHER_GOV,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT01467635,EBUS-TBNA Versus EBUS-TBNB,WITHDRAWN,NA,2014-05,2016-07,0,Royal Brompton & Harefield NHS Foundation Trust,OTHER,Failure,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT00262132,Mycophenolate for Pulmonary Sarcoidosis,TERMINATED,Phase 3,2003-09,2006-08,20,Medical University of South Carolina,OTHER,Failure,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT01729169,Cardiac Sarcoidosis: FDG PET vs. Ga-DOTANOC PET,COMPLETED,,2012-06,2015-01,19,Lars Christian Gormsen,OTHER,Success,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
NCT05171478,Full-Field Optical Coherence Tomography (FFOCT) for Evaluation of Bronchoscopic Small Biopsy Specimens,RECRUITING,,2021-12-09,2026-12-08,20,Johns Hopkins University,OTHER,Ongoing,sarc,D012507,Sarcoidosis,31541009,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",primary_sarc,sarcoidosis
