nct_id,title,status,phase,start_date,completion_date,enrollment,sponsor_name,sponsor_type,outcome,disease_id,condition_mesh_id,condition_mesh_label,condition_snomed_id,condition_snomed_label,condition_icd10_code,condition_icd10_label,indication_disambiguation,indication_query
NCT03049475,Pathophysiology of Acute Pain in Patients With Sickle Cell Disease,COMPLETED,,2017-03-13,2019-12-09,99,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT00538564,Tadalafil for Treatment of Priapism in Men With Sickle Cell Anemia,WITHDRAWN,Phase 2,2006-11,2009-08,0,Johns Hopkins University,OTHER,Failure,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT00948012,Exercise-induced Pulmonary Hypertension in Patients With Sickle-cell Anemia,COMPLETED,,2006-06,2007-11,44,Federal University of São Paulo,OTHER,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT05904093,Study to Evaluate the Safety and Tolerability of Escalating Doses of Fostamatinib in Subjects With Stable Sickle Cell Disease,RECRUITING,Phase 1,2024-12-18,2026-05-14,25,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,Ongoing,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT03105271,Acute Kidney Injury in Patients With Sickle Cell Disease,COMPLETED,,2017-01-01,2022-01-31,60,University of Alabama at Birmingham,OTHER,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT01976416,Novel Use Of Hydroxyurea in an African Region With Malaria,COMPLETED,Phase 3,2014-09,2017-11,208,Indiana University,OTHER,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT06023199,Assessing Physical Function in Sickle Cell Patients Taking Voxelotor,ACTIVE_NOT_RECRUITING,Phase 2,2023-10-23,2026-06-15,6,Inova Health Care Services,OTHER,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT00171821,A Study Assessing the Efficacy and Safety of Deferasirox in Patients With Transfusion-dependent Iron Overload,COMPLETED,Phase 3,2005-04,2010-07,1784,Novartis Pharmaceuticals,INDUSTRY,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT01569971,"Adolescent, Caregiver, and Young Adult Perspectives of the Transition From Pediatric to Adult Care for Sickle Cell Disease: A Preliminary Evaluation of the Sickle Cell Disease Transition Program",COMPLETED,,2012-03,2014-03,55,St. Jude Children's Research Hospital,OTHER,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT06944067,Study to Understand the Genetic Risk of Developing an Immune Response After Blood Transfusions Among Individuals With Sickle Cell Disease,RECRUITING,,2025-06-24,2030-04-10,50,National Human Genome Research Institute (NHGRI),NIH,Ongoing,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT07392216,Functional Ovarian Reserve in Sickle Cell Disease,RECRUITING,,2026-05,2034-02,440,St. Jude Children's Research Hospital,OTHER,Ongoing,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT02466555,Music Therapy in Sickle Cell Transition Study,COMPLETED,NA,2015-06,2016-08,30,University Hospitals Cleveland Medical Center,OTHER,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT00842621,Long Term Effects of Erythrocyte Lysis,COMPLETED,,2009-03,2016-06,390,St. Jude Children's Research Hospital,OTHER,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT06065852,National Registry of Rare Kidney Diseases,RECRUITING,,2009-11-06,2039-12-31,35000,UK Kidney Association,OTHER,Ongoing,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT05329649,Evaluation of Safety and Efficacy of CTX001 in Pediatric Participants With Severe Sickle Cell Disease (SCD),ACTIVE_NOT_RECRUITING,Phase 3,2022-05-02,2026-05-31,13,Vertex Pharmaceuticals Incorporated,INDUSTRY,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT03585543,Self-Management for Youth and Families Living With SCD - SMYLS,COMPLETED,NA,2018-03-16,2019-01-31,30,Medical University of South Carolina,OTHER,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT00456443,Invasive Infections in Children With Hemoglobinopathies,COMPLETED,,2006-01,2006-06,200,"HaEmek Medical Center, Israel",OTHER,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT01917708,Bone Marrow Transplant With Abatacept for Non-Malignant Diseases,COMPLETED,Phase 1,2014-01,2019-09-19,10,Emory University,OTHER,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT04927247,A Study of a Single Dose of Inclacumab to Reduce Re-admission in Participants With Sickle Cell Disease and Recurrent Vaso-occlusive Crises,TERMINATED,Phase 3,2021-12-09,2023-11-24,72,Pfizer,INDUSTRY,Failure,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT03027258,Point-of-Delivery Prenatal Test Results Through mHealth to Improve Birth Outcome,UNKNOWN,NA,2016-09,2018-01,300,"University of Nevada, Las Vegas",OTHER,Unknown,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT05371184,Glutamine Role in Preventing Vaso-occlusive Crisis Among SCD Patients,COMPLETED,Phase 4,2022-01-04,2024-01-07,60,Ain Shams University,OTHER,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT02501447,Feasibility of a Stress Reduction Intervention Study in Sickle Cell Disease,COMPLETED,NA,2013-11,2014-11,28,University of Illinois at Chicago,OTHER,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT01959958,Evaluation of Nocturnal Enuresis and Barriers to Treatment Among Pediatric Patients With Sickle Cell Disease,COMPLETED,,2013-10,2016-04,250,St. Jude Children's Research Hospital,OTHER,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
NCT04364685,Effect of Walking on Sand With Dietary Intervention in Overweight Type 2 Diabetes Mellitus Patients.,COMPLETED,NA,2017-01-25,2019-09-28,66,Majmaah University,OTHER,Success,scd,D000755,"Anemia, Sickle Cell",417357006,Sickle cell anemia,D57.1,Sickle-cell disease without crisis,primary_scd,sickle cell disease
