nct_id,title,status,phase,start_date,completion_date,enrollment,sponsor_name,sponsor_type,outcome,disease_id,condition_mesh_id,condition_mesh_label,condition_snomed_id,condition_snomed_label,condition_icd10_code,condition_icd10_label,indication_disambiguation,indication_query
NCT05845593,Relationship Between Data Obtained With the LuGENE® Multiparameter Transcriptomics Blood Test and Clinical and Standard Laboratory Features of Patients With SLE (ReLATE),RECRUITING,,2023-12-19,2025-03-05,200,"Ampel BioSolutions, LLC",INDUSTRY,Ongoing,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT00775476,Treatment of Systemic Lupus Erythematosus (SLE) With N-acetylcysteine,ACTIVE_NOT_RECRUITING,Phase 2,2022-05-05,2028-09-30,290,State University of New York - Upstate Medical University,OTHER,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT02780674,A Phase 1 Study of MEDI7734 in Type I Interferon-Mediated Autoimmune Diseases,COMPLETED,Phase 1,2016-08-26,2017-11-27,36,Amgen,INDUSTRY,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT03252587,An Investigational Study to Evaluate BMS-986165 in Participants With Systemic Lupus Erythematosus,COMPLETED,Phase 2,2017-09-21,2021-10-28,363,Bristol-Myers Squibb,INDUSTRY,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT02443506,"A Study to Examine the Safety, Pharmacokinetics and Pharmacodynamics of Single Dose of AMG 623 in Subjects With Systemic Lupus Erythematosus",COMPLETED,Phase 1,2004-10,2007-06,56,Amgen,INDUSTRY,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT06677801,Immune Cell Subsets in SLE Patients Treated with Telitacicept,ACTIVE_NOT_RECRUITING,Phase 4,2024-10-11,2027-10-31,50,"Second Affiliated Hospital, School of Medicine, Zhejiang University",OTHER,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT04961567,A Study to Learn About the Safety of Litifilimab (BIIB059) Injections and Whether They Can Improve Symptoms of Adult Participants Who Have Systemic Lupus Erythematosus,ACTIVE_NOT_RECRUITING,Phase 3,2021-07-16,2027-03-16,562,Biogen,INDUSTRY,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT00336414,Five-Year Actively Controlled Clinical Trial in New Onset Juvenile Systemic Lupus Erythematosus Nephritis,WITHDRAWN,Phase 3,2006-06,2007-06,0,Istituto Giannina Gaslini,OTHER,Failure,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT00611663,Safety Study of Two Vaccine Strategies in Patients With Systemic Lupus Erythematosus,COMPLETED,Phase 2; Phase 3,2008-05,2016-04,47,Assistance Publique - Hôpitaux de Paris,OTHER,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT05796206,A Phase 2 Clinical Study of MIL62 in Systemic Lupus Erythematosus,ACTIVE_NOT_RECRUITING,Phase 2,2023-05-26,2026-07,120,"Beijing Mabworks Biotech Co., Ltd.",INDUSTRY,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT00298506,Study to Assess the Efficacy and Safety of FK506 Combined With Mycophenolate Mofetil (MMF) in Lupus Nephritis (III/IV/V),COMPLETED,NA,2005-09,2009-06,120,Nanjing University School of Medicine,OTHER,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",sle_organ,systemic lupus erythematosus
NCT03021499,Aurinia Renal Response in Active Lupus With Voclosporin,COMPLETED,Phase 3,2017-05-17,2019-10-10,358,Aurinia Pharmaceuticals Inc.,INDUSTRY,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT03396393,Exploratory Study of DHA in Systemic Lupus Erythematosus Patients,UNKNOWN,Phase 2,2018-03,2022-12,120,"Kunming Pharmaceuticals, Inc.",INDUSTRY,Unknown,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT06106906,A Clinical Study of CD19 CAR-T in Active Systemic Lupus Erythematosus,RECRUITING,Phase 1; Phase 2,2024-06-19,2027-12,15,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",OTHER,Ongoing,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT02530944,Web-based Genetic Research on Lupus,COMPLETED,,2015-05,2017-10-31,5000,"23andMe, Inc.",INDUSTRY,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT02936375,The Iguratimod Effect on Lupus Nephritis (IGeLU),UNKNOWN,Phase 2,2017-09-07,2021-11,120,RenJi Hospital,OTHER,Unknown,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",sle_organ,systemic lupus erythematosus
NCT01288664,Efficacy and Safety of Tacrolimus Sustained-release Capsules in Induction Phase Treatment in Lupus Nephritis,WITHDRAWN,Phase 3,2011-01,2012-12,0,Sun Yat-sen University,OTHER,Failure,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",sle_organ,systemic lupus erythematosus
NCT04931563,Anifrolumab Asian PhIII Efficacy Study for Systemic Lupus Erythematosus (SLE),COMPLETED,Phase 3,2021-09-13,2025-06-10,277,AstraZeneca,INDUSTRY,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
