ticker,company,disease_id,market_cap,pe_ratio,revenue,debt_to_equity,roe,beta
CRSP,CRISPR Therapeutics,scd,4589998080,,4103000.0,43.407,-0.31206,1.74
VRTX,Vertex Pharmaceuticals,scd,110230233088,25.775074,12218000384.0,10.26,0.24197,0.301
BEAM,Beam Therapeutics,scd,2708809728,,164011008.0,21.54,-0.057690002,2.262
NTLA,Intellia Therapeutics,scd,1668283904,,66092000.0,12.963,-0.56336,1.933
EDIT,Editas Medicine,scd,240849456,,38693000.0,392.4,-3.26073,2.138
NVS,Novartis,scd,287053348864,21.553009,56577998848.0,120.734,0.34929,0.487
PFE,Pfizer,scd,146247745536,19.587788,63315001344.0,71.602,0.083100006,0.305
BMY,Bristol Myers Squibb,scd,119073177600,16.333334,48482000896.0,230.967,0.38731998,0.259
EMMS,Emmaus Life Sciences,scd,26798264,,39710000.0,54.596,-0.22734,0.7
SGMO,Sangamo Therapeutics,scd,61729036,,34557000.0,,,
GSK,GSK,sle,102441205760,13.505291,32779999232.0,109.7,0.40905997,0.298
AZN,AstraZeneca,sle,286348607488,27.765413,60438999040.0,71.815,0.23482999,0.223
LLY,Eli Lilly,sle,910833549312,36.23306,72248999936.0,139.015,1.07459,0.481
BMY,Bristol Myers Squibb,sle,119073177600,16.333334,48482000896.0,230.967,0.38731998,0.259
BIIB,Biogen,sle,28133728256,20.490322,9937399808.0,35.181,0.077010006,0.195
JNJ,Johnson & Johnson,sle,553659858944,26.651217,96361996288.0,67.73,0.26416,0.263
IMVT,Immunovant,sle,5350861312,,,,-0.69348,0.703
CABA,Cabaletta Bio,sle,533189184,,,25.604,-1.5603399,
NVS,Novartis,sarc,287053348864,21.553009,56577998848.0,120.734,0.34929,0.487
INSM,Insmed,sarc,23281381376,,819564032.0,105.336,-2.9446201,0.894
LIFE,aTyr Pharma,sarc,1814002944,,485819008.0,0.465,-0.29123,
JNJ,Johnson & Johnson,sarc,553659858944,26.651217,96361996288.0,67.73,0.26416,0.263
