date,prevalence_us,clinical_trials_active,new_treatments_approved,disease_id,population_mesh_id,population_mesh_label,population_snomed_id,population_snomed_label,population_icd10_code,population_icd10_label
2015-03-31,184000.0,40.0,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2015-06-30,184666.66666666666,41.53846153846154,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2015-09-30,185333.33333333334,43.07692307692308,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2015-12-31,186000.0,44.61538461538461,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2016-03-31,186666.66666666666,46.15384615384615,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2016-06-30,187333.33333333334,47.69230769230769,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2016-09-30,188000.0,49.23076923076923,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2016-12-31,188666.66666666666,50.769230769230774,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2017-03-31,189333.33333333334,52.30769230769231,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2017-06-30,190000.0,53.84615384615385,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2017-09-30,190666.66666666666,55.38461538461539,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2017-12-31,191333.33333333334,56.92307692307692,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2018-03-31,192000.0,58.46153846153847,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2018-06-30,192666.66666666666,60.0,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2018-09-30,193333.33333333334,61.53846153846154,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2018-12-31,194000.0,63.07692307692308,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2019-03-31,194666.66666666666,64.61538461538461,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2019-06-30,195333.33333333334,66.15384615384616,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2019-09-30,196000.0,67.6923076923077,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2019-12-31,196666.66666666666,69.23076923076923,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2020-03-31,197333.33333333334,70.76923076923077,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2020-06-30,198000.0,72.3076923076923,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2020-09-30,198666.66666666666,73.84615384615384,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2020-12-31,199333.33333333334,75.38461538461539,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2021-03-31,200000.0,76.92307692307693,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2021-06-30,200666.66666666666,78.46153846153847,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2021-09-30,201333.33333333334,80.0,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2021-12-31,202000.0,81.53846153846155,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2022-03-31,202666.66666666666,83.07692307692308,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2022-06-30,203333.33333333334,84.61538461538461,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2022-09-30,204000.0,86.15384615384616,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2022-12-31,204666.66666666666,87.6923076923077,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2023-03-31,205333.33333333334,89.23076923076923,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2023-06-30,206000.0,90.76923076923077,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2023-09-30,206666.66666666666,92.30769230769232,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2023-12-31,207333.33333333334,93.84615384615384,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2024-03-31,208000.0,95.38461538461539,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2024-06-30,208666.66666666666,96.92307692307693,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2024-09-30,209333.33333333334,98.46153846153847,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
2024-12-31,210000.0,100.0,0,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified"
