drug_name,company,approval_date,mechanism,phase,efficacy,disease_id,application_number,approval_date_source,indication_mesh_id,indication_mesh_label,indication_icd10_code,indication_disambiguation,moa_mesh_id,moa_mesh_label
—,—,—,—,Label (openFDA),"INDICATIONS & USAGE Prednisone Tablets, USP are indicated in the following conditions: Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first c",sarc,,,D012507,Sarcoidosis,D86.9,primary_sarc,,—
—,—,—,—,Label (openFDA),INDICATIONS AND USAGE MEDROL Tablets are indicated in the following conditions: 1. Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first choic,sarc,,,D012507,Sarcoidosis,D86.9,primary_sarc,,—
PredniSONE,A-S Medication Solutions,1976-11-12,PREDNISONE,Label (openFDA),INDICATIONS Prednisone tablets are indicated in the following conditions: 1. Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first choice; syn,sarc,ANDA085162,openFDA drugsfda (ORIG/AP submission_status_date),D012507,Sarcoidosis,D86.9,primary_sarc,,PREDNISONE
Prednisone,Bryant Ranch Prepack,1976-11-12,PREDNISONE,Label (openFDA),INDICATIONS AND USAGE PredniSONE Tablets are indicated in the following conditions: 1. Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first c,sarc,ANDA085162,openFDA drugsfda (ORIG/AP submission_status_date),D012507,Sarcoidosis,D86.9,primary_sarc,,PREDNISONE
—,—,—,—,Label (openFDA),"INDICATIONS AND USAGE Hydrocortisone Tablets, USP are indicated in the following conditions: 1. Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is th",sarc,,,D012507,Sarcoidosis,D86.9,primary_sarc,,—
—,—,—,—,Label (openFDA),"INDICATIONS AND USAGE Allergic states Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment in asthma, atopic dermatitis, contact dermatitis,",sarc,,,D012507,Sarcoidosis,D86.9,primary_sarc,,—
Saint,"Saint Medicine, Inc.",—,Active ingredient Menthol 3.2%,Label (openFDA),"Use To relieve cough, eliminate phlegm, anti-inflammatory, and relieve headache, sore throat, red eyes, throat and lung discomfort symptoms Suitable for cough caused by the following diseases: Cold, t",sarc,,,D012507,Sarcoidosis,D86.9,primary_sarc,,Active ingredient Menthol 3.2%
—,—,—,—,Label (openFDA),INDICATIONS AND USAGE Prednisone tablets and solutions are indicated in the following conditions: Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is ,sarc,,,D012507,Sarcoidosis,D86.9,primary_sarc,,—
—,—,—,—,Label (openFDA),INDICATIONS AND USAGE Prednisone tablets are indicated in the following conditions: 1. Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first c,sarc,,,D012507,Sarcoidosis,D86.9,primary_sarc,,—
Betaloan SUIK,"Advanced Rx Pharmacy of Tennessee, LLC",—,BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE,Label (openFDA),"INDICATIONS AND USAGE When oral therapy is not feasible, the intramuscular use of Betamethasone Sodium Phosphate and Betamethasone Acetate Injectable Suspension is indicated as follows: Allergic State",sarc,,,D012507,Sarcoidosis,D86.9,primary_sarc,,BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE
Prednisone,Proficient Rx LP,1976-11-12,PREDNISONE,Label (openFDA),"INDICATIONS AND USAGE Prednisone tablets, USP are indicated in the following conditions: Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first",sarc,ANDA085162,openFDA drugsfda (ORIG/AP submission_status_date),D012507,Sarcoidosis,D86.9,primary_sarc,,PREDNISONE
Prednisone delayed release,Dr. Reddys Laboratories Inc.,2025-10-01,PREDNISONE,Label (openFDA),1 INDICATIONS AND USAGE Prednisone delayed-release tablets are indicated in the treatment of the following diseases or conditions: Prednisone delayed-release tablets are a corticosteroid indicated as ,sarc,ANDA219477,openFDA drugsfda (ORIG/AP submission_status_date),D012507,Sarcoidosis,D86.9,primary_sarc,,PREDNISONE
Dyural 40 Kit,"Advanced Rx Pharmacy of Tennessee, LLC",—,Active Ingredient Purpose Povidone Iodine 10% w/v (9.85% w/w/) Antiseptic,Label (openFDA),"1 INDICATIONS AND USAGE Bupivacaine Hydrochloride Injection is indicated in adults for the production of local or regional anesthesia or analgesia for surgery, dental and oral surgery procedures, diag",sarc,,,D012507,Sarcoidosis,D86.9,primary_sarc,,Active Ingredient Purpose Povidone Iodine 10% w/v (9.85% w/w/) Antiseptic
Dyural 80 Kit,"Advanced Rx Pharmacy of Tennessee, LLC",—,Active Ingredient Purpose Povidone Iodine 10% w/v (9.85% w/w/) Antiseptic,Label (openFDA),"1 INDICATIONS AND USAGE Bupivacaine Hydrochloride Injection is indicated in adults for the production of local or regional anesthesia or analgesia for surgery, dental and oral surgery procedures, diag",sarc,,,D012507,Sarcoidosis,D86.9,primary_sarc,,Active Ingredient Purpose Povidone Iodine 10% w/v (9.85% w/w/) Antiseptic
Dyural 80-LM,"Advanced Rx Pharmacy of Tennessee, LLC",—,Active Ingredient Purpose Povidone Iodine 10% w/v (9.85% w/w/) Antiseptic,Label (openFDA),"1 INDICATIONS AND USAGE Bupivacaine Hydrochloride Injection is indicated in adults for the production of local or regional anesthesia or analgesia for surgery, dental and oral surgery procedures, diag",sarc,,,D012507,Sarcoidosis,D86.9,primary_sarc,,Active Ingredient Purpose Povidone Iodine 10% w/v (9.85% w/w/) Antiseptic
