drug_name,company,approval_date,mechanism,phase,efficacy,disease_id,application_number,approval_date_source,indication_mesh_id,indication_mesh_label,indication_icd10_code,indication_disambiguation,moa_mesh_id,moa_mesh_label
—,—,—,—,Label (openFDA),"INDICATIONS & USAGE Prednisone Tablets, USP are indicated in the following conditions: Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first c",sle,,,D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,—
—,—,—,—,Label (openFDA),INDICATIONS AND USAGE MEDROL Tablets are indicated in the following conditions: 1. Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first choic,sle,,,D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,—
PredniSONE,A-S Medication Solutions,1976-11-12,PREDNISONE,Label (openFDA),INDICATIONS Prednisone tablets are indicated in the following conditions: 1. Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first choice; syn,sle,ANDA085162,openFDA drugsfda (ORIG/AP submission_status_date),D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,PREDNISONE
Prednisone,Bryant Ranch Prepack,1976-11-12,PREDNISONE,Label (openFDA),INDICATIONS AND USAGE PredniSONE Tablets are indicated in the following conditions: 1. Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first c,sle,ANDA085162,openFDA drugsfda (ORIG/AP submission_status_date),D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,PREDNISONE
—,—,—,—,Label (openFDA),"INDICATIONS AND USAGE Malaria Hydroxychloroquine sulfate tablets are indicated for the treatment of uncomplicated malaria due to P. falciparum, P. malariae, P. ovale, and P. vivax . Hydroxychloroquine",sle,,,D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,—
—,—,—,—,Label (openFDA),"INDICATIONS AND USAGE Hydrocortisone Tablets, USP are indicated in the following conditions: 1. Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is th",sle,,,D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,—
—,—,—,—,Label (openFDA),"INDICATIONS AND USAGE Malaria Hydroxychloroquine sulfate tablets are indicated for the treatment of uncomplicated malaria due to P. falciparum, P. malariae, P. ovale, and P. vivax . Hydroxychloroquine",sle,,,D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,—
—,—,—,—,Label (openFDA),"INDICATIONS AND USAGE Allergic states Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment in asthma, atopic dermatitis, contact dermatitis,",sle,,,D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,—
—,—,—,—,Label (openFDA),INDICATIONS AND USAGE Prednisone tablets and solutions are indicated in the following conditions: Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is ,sle,,,D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,—
—,—,—,—,Label (openFDA),INDICATIONS AND USAGE Prednisone tablets are indicated in the following conditions: 1. Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first c,sle,,,D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,—
Betaloan SUIK,"Advanced Rx Pharmacy of Tennessee, LLC",—,BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE,Label (openFDA),"INDICATIONS AND USAGE When oral therapy is not feasible, the intramuscular use of Betamethasone Sodium Phosphate and Betamethasone Acetate Injectable Suspension is indicated as follows: Allergic State",sle,,,D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE
Prednisone,Proficient Rx LP,1976-11-12,PREDNISONE,Label (openFDA),"INDICATIONS AND USAGE Prednisone tablets, USP are indicated in the following conditions: Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first",sle,ANDA085162,openFDA drugsfda (ORIG/AP submission_status_date),D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,PREDNISONE
Prednisone delayed release,Dr. Reddys Laboratories Inc.,2025-10-01,PREDNISONE,Label (openFDA),1 INDICATIONS AND USAGE Prednisone delayed-release tablets are indicated in the treatment of the following diseases or conditions: Prednisone delayed-release tablets are a corticosteroid indicated as ,sle,ANDA219477,openFDA drugsfda (ORIG/AP submission_status_date),D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,PREDNISONE
Dyural 40 Kit,"Advanced Rx Pharmacy of Tennessee, LLC",—,Active Ingredient Purpose Povidone Iodine 10% w/v (9.85% w/w/) Antiseptic,Label (openFDA),"1 INDICATIONS AND USAGE Bupivacaine Hydrochloride Injection is indicated in adults for the production of local or regional anesthesia or analgesia for surgery, dental and oral surgery procedures, diag",sle,,,D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,Active Ingredient Purpose Povidone Iodine 10% w/v (9.85% w/w/) Antiseptic
Dyural 80 Kit,"Advanced Rx Pharmacy of Tennessee, LLC",—,Active Ingredient Purpose Povidone Iodine 10% w/v (9.85% w/w/) Antiseptic,Label (openFDA),"1 INDICATIONS AND USAGE Bupivacaine Hydrochloride Injection is indicated in adults for the production of local or regional anesthesia or analgesia for surgery, dental and oral surgery procedures, diag",sle,,,D008180,"Lupus Erythematosus, Systemic",M32.10,primary_sle,,Active Ingredient Purpose Povidone Iodine 10% w/v (9.85% w/w/) Antiseptic
