phase,enrollment_log,sponsor_type,mechanism_id,duration_months,disease_trial_rate,prior_approvals,disease_prevalence_log,phase_success_rate,success,disease,raw_probability
0.0,5.517452896464707,0.5,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.4618332220183992
0.0,5.484796933490655,1.0,0,24,0.4471428571428572,5,5.0,0.64,1,sickle cell disease,0.6413433825737884
0.0,7.409136443920128,0.8,0,24,0.4471428571428572,3,5.0,0.64,1,sickle cell disease,0.5902084752302306
0.0,4.394449154672439,0.5,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.4449881658915152
0.0,5.225746673713202,0.5,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.45745762867712664
0.0,8.495765244002618,0.8,0,24,0.4471428571428572,3,5.0,0.64,1,sickle cell disease,0.6065079072314679
1.0,1.0986122886681098,0.5,0,36,0.4471428571428572,1,5.0,0.64,0,sickle cell disease,0.39555061290145027
1.0,2.302585092994046,0.5,0,36,0.4471428571428572,1,5.0,0.64,0,sickle cell disease,0.4136102049663393
1.0,2.302585092994046,0.5,0,36,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.4136102049663393
0.0,3.713572066704308,0.6,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.4547750095719932
2.0,3.4657359027997265,0.5,0,48,0.4471428571428572,1,5.0,0.36,1,sickle cell disease,0.3470574671134245
2.0,2.1972245773362196,0.5,0,48,0.4471428571428572,1,5.0,0.36,0,sickle cell disease,0.3280297972314719
3.0,3.6635616461296463,0.5,0,60,0.4471428571428572,1,5.0,0.58,0,sickle cell disease,0.4160248532633733
0.0,3.9889840465642745,0.5,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.4389061892698927
0.0,3.5553480614894135,0.5,0,24,0.4471428571428572,1,5.0,0.64,0,sickle cell disease,0.4324016494937698
3.0,0.0,1.0,0,60,0.4471428571428572,5,5.0,0.58,0,sickle cell disease,0.5410714285714285
0.0,3.6635616461296463,0.5,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.4340248532633733
0.0,1.791759469228055,0.5,0,24,0.4471428571428572,1,5.0,0.64,0,sickle cell disease,0.40594782060984946
2.0,5.342334251964811,0.5,0,48,0.4471428571428572,1,5.0,0.36,1,sickle cell disease,0.3752064423509007
0.0,6.212606095751519,1.0,0,24,0.4471428571428572,5,5.0,0.64,1,sickle cell disease,0.6522605200077013
2.0,4.406719247264253,1.0,0,48,0.4471428571428572,5,5.0,0.36,1,sickle cell disease,0.5411722172803923
0.0,6.049733455231958,0.5,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.469817430399908
2.0,3.091042453358316,0.5,0,48,0.4471428571428572,1,5.0,0.36,1,sickle cell disease,0.34143706537180335
0.0,3.9318256327243257,0.5,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.4380488130622935
1.0,3.295836866004329,1.0,0,36,0.4471428571428572,5,5.0,0.64,1,sickle cell disease,0.6085089815614935
0.0,1.3862943611198906,0.5,0,24,0.4471428571428572,1,5.0,0.64,0,sickle cell disease,0.399865843988227
3.0,3.713572066704308,0.5,0,60,0.4471428571428572,1,5.0,0.58,1,sickle cell disease,0.4167750095719932
2.0,3.9512437185814275,1.0,0,48,0.4471428571428572,5,5.0,0.36,1,sickle cell disease,0.53434008435015
2.0,4.143134726391533,1.0,0,48,0.4471428571428572,5,5.0,0.36,1,sickle cell disease,0.5372184494673016
0.0,4.07753744390572,0.5,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.44023449023001443
0.0,5.075173815233827,0.5,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.45519903579993604
1.0,3.6888794541139363,0.5,0,36,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.43440462038313765
4.0,3.9318256327243257,0.5,0,36,0.4471428571428572,1,5.0,0.8,1,sickle cell disease,0.4860488130622934
0.0,0.0,0.5,0,24,0.4471428571428572,1,5.0,0.64,0,sickle cell disease,0.3790714285714286
0.0,4.1588830833596715,0.5,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.44145467482182366
0.0,2.1972245773362196,0.5,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.41202979723147193
3.0,5.442417710521793,1.0,0,60,0.4471428571428572,5,5.0,0.58,1,sickle cell disease,0.6227076942292554
0.0,1.9459101490553132,0.5,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.4082600808072583
2.0,3.970291913552122,1.0,0,48,0.4471428571428572,5,5.0,0.36,1,sickle cell disease,0.5346258072747104
1.0,0.0,1.0,0,36,0.4471428571428572,5,5.0,0.64,0,sickle cell disease,0.5590714285714286
2.0,3.044522437723423,0.5,0,48,0.4471428571428572,1,5.0,0.36,1,sickle cell disease,0.3407392651372799
2.0,4.2626798770413155,0.5,0,48,0.4471428571428572,1,5.0,0.36,1,sickle cell disease,0.35901162672704834
3.0,3.4339872044851463,0.5,0,60,0.4471428571428572,1,5.0,0.58,1,sickle cell disease,0.4125812366387058
1.0,5.602118820879701,0.5,0,36,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.46310321088462414
0.0,6.573680166960646,0.5,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.4776766310758383
4.0,5.771441123130016,0.5,0,36,0.4471428571428572,1,5.0,0.8,0,sickle cell disease,0.5136430454183788
0.0,4.219507705176107,0.5,0,24,0.4471428571428572,1,5.0,0.64,1,sickle cell disease,0.4423640441490702
0.0,5.568344503761097,1.0,0,24,0.4471428571428572,5,5.0,0.64,1,sickle cell disease,0.642596596127845
