ticker,company,market_cap_millions,sickle_cell_focus,primary_product,clinical_stage_scd,volatility_1y
CRSP,CRISPR Therapeutics,5500,High,CTX001 (gene therapy),Phase 3,0.65
VRTX,Vertex Pharmaceuticals,85000,High,CTX001 (partnered),Phase 3,0.28
EMMS,Emmaus Life Sciences,120,High,LentiGlobin,Phase 3,0.85
EDIT,Editas Medicine,600,Medium,EDIT-301,Phase 1/2,0.72
SGMO,Sangamo Therapeutics,350,Medium,ZFN therapies,Phase 2,0.58
NTLA,Intellia Therapeutics,2500,Medium,NTLA-2001,Phase 1,0.68
BEAM,Beam Therapeutics,1800,Medium,BEAM-101,Phase 1,0.75
GILD,Gilead Sciences,85000,Low,Partnered gene therapy,Clinical,0.32
PFE,Pfizer,250000,Medium,Multiple partnerships,Clinical,0.25
BMY,Bristol Myers Squibb,110000,Medium,Various acquired drugs,Commercial,0.3
JNJ,Johnson & Johnson,380000,Low,J&J Innovation,R&D,0.2
MRK,Merck (MSD),275000,Low,Clinical pipeline,Clinical,0.28
