disease_id,fold_id,strategy,train_start,train_end,test_start,test_end,n_test_days,annual_return,volatility,sharpe_ratio,max_drawdown
all,0,Equal weight,2021-05-18,2023-04-28,2023-05-31,2023-10-31,106,-0.3381,0.2885,-1.241,-0.2714
all,0,Registry-tilt demo,2021-05-18,2023-04-28,2023-05-31,2023-10-31,106,-0.7138,0.3289,-2.231,-0.3572
all,1,Equal weight,2021-05-18,2023-10-30,2023-11-30,2024-04-30,103,-0.078,0.3552,-0.276,-0.283
all,1,Registry-tilt demo,2021-05-18,2023-10-30,2023-11-30,2024-04-30,103,-0.4957,0.4899,-1.053,-0.3913
all,2,Equal weight,2021-05-18,2024-04-29,2024-05-31,2024-10-31,106,0.3178,0.3144,0.947,-0.1489
all,2,Registry-tilt demo,2021-05-18,2024-04-29,2024-05-31,2024-10-31,106,-0.3679,0.4098,-0.947,-0.2976
all,3,Equal weight,2021-05-18,2024-10-30,2024-11-30,2025-04-30,101,-0.3896,0.4463,-0.918,-0.3129
all,3,Registry-tilt demo,2021-05-18,2024-10-30,2024-11-30,2025-04-30,101,-0.3304,0.6825,-0.513,-0.4599
all,4,Equal weight,2021-05-18,2025-04-29,2025-05-31,2025-10-31,106,1.0453,0.4282,2.395,-0.1782
all,4,Registry-tilt demo,2021-05-18,2025-04-29,2025-05-31,2025-10-31,106,1.3074,0.6085,2.116,-0.2564
all,5,Equal weight,2021-05-18,2025-10-30,2025-11-30,2026-04-30,103,0.2061,0.4268,0.436,-0.1339
all,5,Registry-tilt demo,2021-05-18,2025-10-30,2025-11-30,2026-04-30,103,0.5114,0.5603,0.877,-0.2331
scd,0,Equal weight,2021-05-18,2023-04-28,2023-05-31,2023-10-31,106,-0.3381,0.2885,-1.241,-0.2714
scd,0,Registry-tilt demo,2021-05-18,2023-04-28,2023-05-31,2023-10-31,106,-0.3381,0.2885,-1.241,-0.2714
scd,1,Equal weight,2021-05-18,2023-10-30,2023-11-30,2024-04-30,103,-0.078,0.3552,-0.276,-0.283
scd,1,Registry-tilt demo,2021-05-18,2023-10-30,2023-11-30,2024-04-30,103,-0.078,0.3552,-0.276,-0.283
scd,2,Equal weight,2021-05-18,2024-04-29,2024-05-31,2024-10-31,106,0.3178,0.3144,0.947,-0.1489
scd,2,Registry-tilt demo,2021-05-18,2024-04-29,2024-05-31,2024-10-31,106,0.3178,0.3144,0.947,-0.1489
scd,3,Equal weight,2021-05-18,2024-10-30,2024-11-30,2025-04-30,101,-0.3896,0.4463,-0.918,-0.3129
scd,3,Registry-tilt demo,2021-05-18,2024-10-30,2024-11-30,2025-04-30,101,-0.3896,0.4463,-0.918,-0.3129
scd,4,Equal weight,2021-05-18,2025-04-29,2025-05-31,2025-10-31,106,1.0453,0.4282,2.395,-0.1782
scd,4,Registry-tilt demo,2021-05-18,2025-04-29,2025-05-31,2025-10-31,106,1.0453,0.4282,2.395,-0.1782
scd,5,Equal weight,2021-05-18,2025-10-30,2025-11-30,2026-04-30,103,0.2061,0.4268,0.436,-0.1339
scd,5,Registry-tilt demo,2021-05-18,2025-10-30,2025-11-30,2026-04-30,103,0.2061,0.4268,0.436,-0.1339
