date,disease_id,strategy,cumulative_return
2023-05-31,all,Equal weight,1.044872
2023-06-01,all,Equal weight,1.054794
2023-06-02,all,Equal weight,1.081185
2023-06-05,all,Equal weight,1.07888
2023-06-06,all,Equal weight,1.104879
2023-06-07,all,Equal weight,1.072065
2023-06-08,all,Equal weight,1.060913
2023-06-09,all,Equal weight,1.049708
2023-06-12,all,Equal weight,1.053145
2023-06-13,all,Equal weight,1.085789
2023-06-14,all,Equal weight,1.072438
2023-06-15,all,Equal weight,1.06008
2023-06-16,all,Equal weight,1.050809
2023-06-20,all,Equal weight,1.040494
2023-06-21,all,Equal weight,1.031866
2023-06-22,all,Equal weight,1.027849
2023-06-23,all,Equal weight,1.021256
2023-06-26,all,Equal weight,1.017416
2023-06-27,all,Equal weight,1.01318
2023-06-28,all,Equal weight,1.081186
2023-06-29,all,Equal weight,1.074402
2023-06-30,all,Equal weight,1.082595
2023-07-03,all,Equal weight,1.08401
2023-07-05,all,Equal weight,1.081722
2023-07-06,all,Equal weight,1.059074
2023-07-07,all,Equal weight,1.035445
2023-07-10,all,Equal weight,1.069306
2023-07-11,all,Equal weight,1.072695
2023-07-12,all,Equal weight,1.084168
2023-07-13,all,Equal weight,1.089863
2023-07-14,all,Equal weight,1.063906
2023-07-17,all,Equal weight,1.069052
2023-07-18,all,Equal weight,1.084487
2023-07-19,all,Equal weight,1.09498
2023-07-20,all,Equal weight,1.089743
2023-07-21,all,Equal weight,1.096725
2023-07-24,all,Equal weight,1.077792
2023-07-25,all,Equal weight,1.07995
2023-07-26,all,Equal weight,1.081673
2023-07-27,all,Equal weight,1.04681
2023-07-28,all,Equal weight,1.072692
2023-07-31,all,Equal weight,1.142626
2023-08-01,all,Equal weight,1.105927
2023-08-02,all,Equal weight,1.129546
2023-08-03,all,Equal weight,1.112295
2023-08-04,all,Equal weight,1.103778
2023-08-07,all,Equal weight,1.086228
2023-08-08,all,Equal weight,1.101365
2023-08-09,all,Equal weight,1.088993
2023-08-10,all,Equal weight,1.085258
2023-08-11,all,Equal weight,1.087086
2023-08-14,all,Equal weight,1.0756
2023-08-15,all,Equal weight,1.069398
2023-08-16,all,Equal weight,1.043315
2023-08-17,all,Equal weight,1.046395
2023-08-18,all,Equal weight,1.05113
2023-08-21,all,Equal weight,1.057044
2023-08-22,all,Equal weight,1.058646
2023-08-23,all,Equal weight,1.061907
2023-08-24,all,Equal weight,1.042121
2023-08-25,all,Equal weight,1.023341
2023-08-28,all,Equal weight,1.034926
2023-08-29,all,Equal weight,1.052353
2023-08-30,all,Equal weight,1.054254
2023-08-31,all,Equal weight,1.046112
2023-09-01,all,Equal weight,1.055014
2023-09-05,all,Equal weight,1.04403
2023-09-06,all,Equal weight,1.052414
2023-09-07,all,Equal weight,1.043013
2023-09-08,all,Equal weight,1.044346
2023-09-11,all,Equal weight,1.059788
2023-09-12,all,Equal weight,1.062314
2023-09-13,all,Equal weight,1.051012
2023-09-14,all,Equal weight,1.052065
2023-09-15,all,Equal weight,1.049182
2023-09-18,all,Equal weight,1.017485
2023-09-19,all,Equal weight,1.017121
2023-09-20,all,Equal weight,1.017671
2023-09-21,all,Equal weight,1.008411
2023-09-22,all,Equal weight,0.988928
2023-09-25,all,Equal weight,0.964889
2023-09-26,all,Equal weight,0.963434
2023-09-27,all,Equal weight,0.953279
2023-09-28,all,Equal weight,0.945946
2023-09-29,all,Equal weight,0.959727
2023-10-02,all,Equal weight,0.930058
2023-10-03,all,Equal weight,0.930005
2023-10-04,all,Equal weight,0.909456
2023-10-05,all,Equal weight,0.918348
2023-10-06,all,Equal weight,0.922404
2023-10-09,all,Equal weight,0.915621
2023-10-10,all,Equal weight,0.930483
2023-10-11,all,Equal weight,0.93771
2023-10-12,all,Equal weight,0.907483
2023-10-13,all,Equal weight,0.9295
2023-10-16,all,Equal weight,0.937782
2023-10-17,all,Equal weight,0.929306
2023-10-18,all,Equal weight,0.897035
2023-10-19,all,Equal weight,0.875093
2023-10-20,all,Equal weight,0.862091
2023-10-23,all,Equal weight,0.866932
2023-10-24,all,Equal weight,0.877065
2023-10-25,all,Equal weight,0.862348
2023-10-26,all,Equal weight,0.856495
2023-10-27,all,Equal weight,0.832545
2023-10-30,all,Equal weight,0.852557
2023-11-30,all,Equal weight,0.852972
2023-12-01,all,Equal weight,0.865546
2023-12-04,all,Equal weight,0.878527
2023-12-05,all,Equal weight,0.863611
2023-12-06,all,Equal weight,0.864683
2023-12-07,all,Equal weight,0.862976
2023-12-08,all,Equal weight,0.849407
2023-12-11,all,Equal weight,0.834119
2023-12-12,all,Equal weight,0.826168
2023-12-13,all,Equal weight,0.858143
2023-12-14,all,Equal weight,0.86782
2023-12-15,all,Equal weight,0.858667
2023-12-18,all,Equal weight,0.84357
2023-12-19,all,Equal weight,0.875064
2023-12-20,all,Equal weight,0.834709
2023-12-21,all,Equal weight,0.848853
2023-12-22,all,Equal weight,0.874747
2023-12-26,all,Equal weight,0.890862
