,CRSP,CRSP,CRSP,CRSP,CRSP,CRSP,CRSP,VRTX,VRTX,VRTX,VRTX,VRTX,VRTX,VRTX,BEAM,BEAM,BEAM,BEAM,BEAM,BEAM,BEAM,NTLA,NTLA,NTLA,NTLA,NTLA,NTLA,NTLA,EDIT,EDIT,EDIT,EDIT,EDIT,EDIT,EDIT,NVS,NVS,NVS,NVS,NVS,NVS,NVS,PFE,PFE,PFE,PFE,PFE,PFE,PFE,BMY,BMY,BMY,BMY,BMY,BMY,BMY,EMMS,EMMS,EMMS,EMMS,EMMS,EMMS,EMMS,SGMO,SGMO,SGMO,SGMO,SGMO,SGMO,SGMO,GSK,GSK,GSK,GSK,GSK,GSK,GSK,AZN,AZN,AZN,AZN,AZN,AZN,AZN,LLY,LLY,LLY,LLY,LLY,LLY,LLY,BIIB,BIIB,BIIB,BIIB,BIIB,BIIB,BIIB,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,IMVT,IMVT,IMVT,IMVT,IMVT,IMVT,IMVT,CABA,CABA,CABA,CABA,CABA,CABA,CABA,INSM,INSM,INSM,INSM,INSM,INSM,INSM,LIFE,LIFE,LIFE,LIFE,LIFE,LIFE,LIFE
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-20 00:00:00-04:00,112.47000122070312,119.54000091552734,112.04000091552734,117.6500015258789,1353600,0.0,0.0,213.92999267578125,218.97000122070312,213.39999389648438,216.61000061035156,1417500,0.0,0.0,72.68000030517578,75.48999786376953,71.2300033569336,71.72000122070312,629100,0.0,0.0,65.16000366210938,67.77999877929688,63.13999938964844,64.08000183105469,991800,0.0,0.0,33.529998779296875,34.900001525878906,32.91400146484375,34.18000030517578,761800,0.0,0.0,72.36386257822674,73.24290814074669,72.36386257822674,72.92778015136719,1452500,0.0,0.0,30.74857190965548,31.15102022711902,30.740833824778015,31.05040740966797,18621100,0.0,0.0,53.42992974213957,54.99225922699135,53.380853420104344,54.80412292480469,13165000,0.0,0.0,2.7699999809265137,2.880000114440918,2.7699999809265137,2.880000114440918,1100,0.0,0.0,10.630000114440918,11.15999984741211,10.600000381469727,10.9399995803833,625700,0.0,0.0,31.51102414941512,31.844689301423212,31.48660750597274,31.7633056640625,2543700,0.527,0.0,102.55854141948348,103.74668641223923,102.3965213355943,103.4046401977539,5086150,0.0,0.0,188.0740929910797,191.81344218187488,187.12971085614063,190.33486938476562,3494400,0.0,0.0,281.0,290.3599853515625,280.010009765625,286.57000732421875,1094300,0.0,0.0,147.57290760496065,149.00573326893928,147.35581200432972,148.55418395996094,4853200,0.0,0.0,15.050000190734863,15.399999618530273,14.9399995803833,15.300000190734863,667300,0.0,0.0,10.289999961853027,10.949999809265137,10.175000190734863,10.829999923706055,59700,0.0,0.0,25.739999771118164,26.639999389648438,25.399999618530273,26.270000457763672,905800,0.0,0.0,,,,,,,
2021-05-21 00:00:00-04:00,118.81300354003906,119.01000213623047,115.17500305175781,115.56999969482422,958500,0.0,0.0,217.2899932861328,218.4199981689453,213.0,213.42999267578125,1618800,0.0,0.0,73.02999877929688,75.87000274658203,71.88999938964844,72.62000274658203,526700,0.0,0.0,64.41999816894531,66.54000091552734,62.75,63.47999954223633,911800,0.0,0.0,34.720001220703125,34.9900016784668,33.18000030517578,33.209999084472656,691200,0.0,0.0,73.06876373291016,73.2429139245021,72.89461354131821,73.06876373291016,1255000,0.0,0.0,31.120057338811826,31.421892793780728,30.88787644670807,30.918834686279297,21144800,0.0,0.0,55.00043454245974,55.55665574207143,54.77958485231334,54.84502410888672,9442100,0.0,0.0,2.7699999809265137,2.815000057220459,2.7300000190734863,2.7300000190734863,2600,0.0,0.0,11.050000190734863,11.170000076293945,10.800000190734863,10.819999694824219,524700,0.0,0.0,31.68191673761036,31.763297248942425,31.551706056798555,31.616809844970703,3048500,0.0,0.0,103.65667413166555,103.9267030197172,103.24261747552289,103.33263397216797,3626400,0.0,0.0,190.7831969498301,192.61471389387617,190.2776226423613,190.66873168945312,2579000,0.0,0.0,288.239990234375,289.9100036621094,282.7799987792969,283.19000244140625,940200,0.0,0.0,148.77997648659982,150.00439900135305,148.38051470324956,148.45867919921875,6501800,0.0,0.0,15.5,15.640999794006348,15.149999618530273,15.359999656677246,477100,0.0,0.0,10.694999694824219,11.289999961853027,10.600000381469727,11.239999771118164,72000,0.0,0.0,26.59000015258789,26.59000015258789,25.639999389648438,25.850000381469727,785900,0.0,0.0,,,,,,,
2021-05-24 00:00:00-04:00,116.95999908447266,118.16000366210938,115.4000015258789,115.5999984741211,781500,0.0,0.0,215.02000427246094,215.6999969482422,210.99000549316406,211.22000122070312,1505300,0.0,0.0,73.33999633789062,76.79000091552734,72.25,74.27999877929688,442800,0.0,0.0,65.0999984741211,67.87999725341797,64.41500091552734,67.0,781200,0.0,0.0,33.54999923706055,33.810001373291016,32.38999938964844,33.189998626708984,757700,0.0,0.0,73.25120964727442,73.36730977666468,72.91949228030971,72.99412536621094,809800,0.0,0.0,31.01944378141895,31.06587818288595,30.78725996472448,30.81048011779785,16922300,0.0,0.0,55.02497693854936,55.589379648830075,54.97590061265763,55.04133987426758,8441800,0.0,0.0,2.7699999809265137,2.7850000858306885,2.75,2.7699999809265137,6700,0.0,0.0,10.930000305175781,10.9399995803833,10.630000114440918,10.680000305175781,495400,0.0,0.0,31.633089612768146,31.71447323640077,31.44591193511482,31.470325469970703,4602700,0.0,0.0,103.5306598993477,103.9087113576399,103.38664585542759,103.45865631103516,2162250,0.0,0.0,191.73711267312163,194.23636789196348,190.821346924546,191.75619506835938,2074900,0.0,0.0,285.6000061035156,287.2699890136719,277.9599914550781,278.8599853515625,838200,0.0,0.0,149.33246394674705,149.7256847430146,148.34507868743637,149.02664184570312,5195100,1.06,0.0,15.470000267028809,15.789999961853027,15.210000038146973,15.600000381469727,428200,0.0,0.0,11.229999542236328,11.729999542236328,11.1899995803833,11.229999542236328,148200,0.0,0.0,25.899999618530273,26.15999984741211,25.219999313354492,25.360000610351562,673800,0.0,0.0,,,,,,,
2021-05-25 00:00:00-04:00,115.5,118.41999816894531,114.62000274658203,116.30999755859375,756400,0.0,0.0,211.41000366210938,212.05999755859375,207.47999572753906,208.75999450683594,1707200,0.0,0.0,75.0999984741211,78.19999694824219,73.06500244140625,75.5999984741211,683200,0.0,0.0,66.41999816894531,69.9800033569336,66.41999816894531,69.05999755859375,1119700,0.0,0.0,33.45000076293945,34.06999969482422,32.380001068115234,32.939998626708984,677900,0.0,0.0,73.62438599629374,73.63268067019266,73.22633022689956,73.37560272216797,2173800,0.0,0.0,30.81821962033441,30.849177857631844,30.369336988881635,30.43899154663086,25916300,0.0,0.0,55.08222997826842,55.26218481184851,54.53419025100608,54.607810974121094,9349700,0.0,0.0,2.75,2.75,2.700000047683716,2.700000047683716,9200,0.0,0.0,10.739999771118164,10.829999923706055,10.420000076293945,10.430000305175781,647400,0.0,0.0,31.61681294920251,31.624952863815423,31.40522173628399,31.462188720703125,2936800,0.0,0.0,103.2066193729278,103.26062377721281,102.18048762045068,102.45052337646484,3702150,0.0,0.0,192.14728491527654,192.54794242757174,189.9628237704416,190.0391387939453,2919100,0.0,0.0,279.9599914550781,280.2699890136719,272.9599914550781,273.45001220703125,946700,0.0,0.0,149.13145987404945,149.44602844001457,148.31883218963276,148.6159210205078,7444700,0.0,0.0,15.649999618530273,16.049999237060547,15.0600004196167,15.119999885559082,335600,0.0,0.0,11.239999771118164,11.239999771118164,10.640000343322754,10.90999984741211,94700,0.0,0.0,25.479999542236328,25.600000381469727,24.290000915527344,24.290000915527344,1304600,0.0,0.0,,,,,,,
2021-05-26 00:00:00-04:00,117.0,118.61000061035156,115.75,118.5199966430664,700500,0.0,0.0,209.6300048828125,209.6300048828125,206.13999938964844,206.8000030517578,1485000,0.0,0.0,75.87000274658203,80.0,73.51000213623047,79.66999816894531,787900,0.0,0.0,69.37999725341797,73.0,68.05000305175781,72.13999938964844,1088100,0.0,0.0,32.95000076293945,35.380001068115234,32.95000076293945,35.060001373291016,1051900,0.0,0.0,73.74048757395488,73.9892771799585,73.40877020827753,73.93952178955078,2833400,0.0,0.0,30.408034771594707,30.415772855121173,30.013324607921618,30.121675491333008,28036500,0.0,0.0,54.575086373771214,54.640525623771026,53.97796413862606,54.09247970581055,8503900,0.0,0.0,2.799999952316284,2.869999885559082,2.799999952316284,2.869999885559082,900,0.0,0.0,10.5,10.890000343322754,10.4399995803833,10.789999961853027,605500,0.0,0.0,31.49473565857823,31.576116161074783,31.33197154911795,31.502872467041016,2832200,0.0,0.0,102.63054549865348,102.72056199803238,101.74844149001598,101.7844467163086,2031700,0.0,0.0,190.0486984642952,193.11077551651982,189.11386477201287,191.72760009765625,2891300,0.0,0.0,273.29998779296875,274.3500061035156,266.2300109863281,267.8399963378906,1777500,0.0,0.0,148.5460108380989,148.61591644317488,147.04307366179236,147.73338317871094,5726400,0.0,0.0,15.130000114440918,15.550000190734863,15.130000114440918,15.489999771118164,374900,0.0,0.0,10.989999771118164,11.529999732971191,10.899999618530273,11.359999656677246,59500,0.0,0.0,24.360000610351562,24.860000610351562,23.950000762939453,24.459999084472656,1303300,0.0,0.0,,,,,,,
2021-05-27 00:00:00-04:00,118.01000213623047,119.26000213623047,115.36000061035156,118.4000015258789,742900,0.0,0.0,207.0399932861328,207.44000244140625,204.6199951171875,207.30999755859375,2194900,0.0,0.0,79.61000061035156,79.98999786376953,75.5,79.88999938964844,929300,0.0,0.0,72.1500015258789,73.0,68.76000213623047,71.73999786376953,1050900,0.0,0.0,34.900001525878906,35.130001068115234,33.70000076293945,34.59000015258789,758200,0.0,0.0,73.64097534409156,73.83170855488974,73.23461857381609,73.37560272216797,3492100,0.0,0.0,30.16037400386745,30.32290032487768,29.874014730841722,29.9127140045166,38471200,0.0,0.0,54.23155393847079,54.51784293174373,53.64261301480531,53.74894714355469,12255400,0.0,0.0,2.7899999618530273,2.880000114440918,2.7899999618530273,2.880000114440918,2200,0.0,0.0,10.779999732971191,10.880000114440918,10.5600004196167,10.84000015258789,731500,0.0,0.0,31.250599288967535,31.470327324554937,31.079695221501343,31.323843002319336,6302000,0.0,0.0,101.19037004780107,103.26062590716059,101.17237086843298,102.41452026367188,6182700,0.0,0.0,191.40324060391208,192.09960976767965,186.49057899981548,190.0200653076172,9340300,0.0,0.0,269.1000061035156,269.1000061035156,266.0,267.3699951171875,1792800,0.0,0.0,147.89940245291928,148.6945637563808,147.13046741935128,147.50619506835938,8114700,0.0,0.0,15.670000076293945,15.670000076293945,14.880000114440918,15.130000114440918,629700,0.0,0.0,11.350000381469727,11.350000381469727,11.020000457763672,11.239999771118164,26400,0.0,0.0,24.649999618530273,24.889999389648438,24.020000457763672,24.170000076293945,1686000,0.0,0.0,,,,,,,
2021-05-28 00:00:00-04:00,118.01000213623047,123.16000366210938,117.93000030517578,118.18000030517578,935600,0.0,0.0,208.77999877929688,211.77999877929688,208.3000030517578,208.6300048828125,1724900,0.0,0.0,80.0,86.0,77.93000030517578,78.2300033569336,896300,0.0,0.0,72.12999725341797,77.9800033569336,72.0999984741211,74.94000244140625,1078400,0.0,0.0,34.75,36.56999969482422,33.720001220703125,33.95000076293945,877400,0.0,0.0,72.9111984416766,73.54975548762259,72.9111984416766,73.29267120361328,1703900,0.0,0.0,29.990115201297925,30.19907893891691,29.93593974550866,29.97463607788086,16154100,0.0,0.0,53.70804571570018,54.15792658137487,53.6589631509742,53.75712203979492,6356800,0.0,0.0,2.8499999046325684,2.8499999046325684,2.8499999046325684,2.8499999046325684,200,0.0,0.0,10.880000114440918,11.319999694824219,10.739999771118164,10.779999732971191,775900,0.0,0.0,31.34825382467968,31.584261669988738,31.340113910307522,31.551708221435547,3873600,0.0,0.0,102.16249635883554,103.38664664432503,102.07248672228677,102.19850158691406,2781550,0.0,0.0,189.9437793735868,192.9581579047945,189.38097233771094,190.53521728515625,2386000,0.0,0.0,269.0,271.989990234375,266.0,267.4800109863281,957000,0.0,0.0,148.12660054278805,149.42855419248943,147.82076516657094,147.8906707763672,6400800,0.0,0.0,15.25,15.586999893188477,15.09000015258789,15.15999984741211,462300,0.0,0.0,11.3100004196167,11.694000244140625,11.289999961853027,11.34000015258789,41500,0.0,0.0,24.270000457763672,24.84000015258789,24.270000457763672,24.600000381469727,945100,0.0,0.0,,,,,,,
2021-06-01 00:00:00-04:00,119.44000244140625,119.8239974975586,114.76000213623047,115.80000305175781,801200,0.0,0.0,209.49000549316406,210.1999969482422,207.1999969482422,209.6699981689453,1808700,0.0,0.0,78.75,80.2699966430664,74.29000091552734,77.73999786376953,565900,0.0,0.0,75.5999984741211,77.54000091552734,72.19000244140625,73.7300033569336,1271200,0.0,0.0,34.04999923706055,34.470001220703125,33.400001525878906,34.220001220703125,831600,0.0,0.0,73.80683000485278,73.82341302547604,73.07705688476562,73.07705688476562,1822600,0.0,0.0,30.137158862345736,30.183596227076148,29.78114792310093,29.796627044677734,23642400,0.0,0.0,54.313347122106315,54.313347122106315,53.19272313078986,53.24998092651367,8796600,0.0,0.0,2.8499999046325684,2.8499999046325684,2.8499999046325684,2.8499999046325684,0,0.0,0.0,10.789999961853027,11.020000457763672,10.619999885559082,10.710000038146973,775400,0.0,0.0,31.592395121007772,31.61680865259317,31.14479611662689,31.20989990234375,2952700,0.0,0.0,102.86458507744803,102.90059030690541,101.08237085672717,101.26239013671875,3378550,0.0,0.0,191.0884346092958,191.63215908783175,187.61616685923,189.27598571777344,3070200,0.0,0.0,272.3500061035156,272.3500061035156,264.1199951171875,267.1499938964844,1340800,0.0,0.0,148.67708911600656,148.72078178981758,144.50907203044898,144.64013671875,10448400,0.0,0.0,11.359999656677246,13.0,9.220000267028809,9.399999618530273,16909700,0.0,0.0,11.279999732971191,11.329999923706055,10.8100004196167,11.0,49100,0.0,0.0,25.0,25.56999969482422,24.510000228881836,25.170000076293945,1052500,0.0,0.0,,,,,,,
