,IBB,IBB,IBB,IBB,IBB,IBB,IBB,IBB,XBI,XBI,XBI,XBI,XBI,XBI,XBI,XBI,XLV,XLV,XLV,XLV,XLV,XLV,XLV,XLV,BBH,BBH,BBH,BBH,BBH,BBH,BBH,BBH
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-17 00:00:00-04:00,147.0281309752337,148.64653513773033,146.228784265959,148.0248260498047,2584500,0.0,0.0,0.0,125.77513820593539,127.2074554100148,124.56165567323117,125.95417785644531,7835800,0.0,0.0,0.0,113.7703584694734,114.29626124209186,113.61351187955377,113.68732452392578,5997700,0.0,0.0,0.0,172.81229530383524,174.07176818916378,172.81229530383524,173.8667449951172,6400,0.0,0.0,0.0
2021-05-18 00:00:00-04:00,148.3307263211051,150.8471511160747,147.91625865784198,148.5576934814453,2987600,0.0,0.0,0.0,126.59074435124319,129.6244768301491,125.76517990898076,126.50122833251953,6302600,0.0,0.0,0.0,113.65043051169553,114.37931461570493,113.27214594768628,113.7242431640625,9202000,0.0,0.0,0.0,173.86674423974566,176.24901780253913,173.35904293182838,174.67710876464844,19200,0.0,0.0,0.0
2021-05-19 00:00:00-04:00,146.33729807175257,147.4919046633919,145.70572624837263,147.18597412109375,4575700,0.0,0.0,0.0,124.33287827662507,125.94423511101373,123.16912435723825,124.28314208984375,6247300,0.0,0.0,0.0,112.98610478505596,113.60426976862772,112.18340821292223,113.53046417236328,10063000,0.0,0.0,0.0,172.177695802383,173.98391723632812,171.4942453647945,173.98391723632812,12100,0.0,0.0,0.0
2021-05-20 00:00:00-04:00,147.56100264385876,151.380038050673,147.37350213568266,150.1761016845703,4657200,0.0,0.0,0.0,125.0987636989119,127.79429955119342,123.97479722710753,126.88916015625,4918500,0.0,0.0,0.0,113.4935632913203,115.20966843177094,113.4935632913203,114.72066497802734,7522700,0.0,0.0,0.0,174.25729344908422,179.54905854337076,174.25729344908422,178.81680297851562,11900,0.0,0.0,0.0
2021-05-21 00:00:00-04:00,151.2715111542837,151.6465122331979,149.26824286257997,149.3866729736328,1966100,0.0,0.0,0.0,128.0628505790257,128.36125248963162,125.95416246281087,125.99394989013672,5244400,0.0,0.0,0.0,115.09894829569905,115.93855121717418,114.64685820522199,114.73912048339844,8423300,0.0,0.0,0.0,180.10554507209204,180.10554507209204,177.4206085205078,177.4206085205078,6000,0.0,0.0,0.0
2021-05-24 00:00:00-04:00,150.0873012232581,150.58071730859294,148.46889706567444,148.47877502441406,2235800,0.0,0.0,0.0,126.85932002111097,127.29697416979955,124.4223911161672,125.16838836669922,4975100,0.0,0.0,0.0,115.32962164443481,115.56028088772368,114.80371885130263,114.849853515625,4958800,0.0,0.0,0.0,179.03157383329864,179.15850288055668,177.6061248779297,177.6061248779297,4300,0.0,0.0,0.0
2021-05-25 00:00:00-04:00,148.90308274029502,149.30768748196013,147.324145486796,147.71888732910156,3211100,0.0,0.0,0.0,125.58613511169403,126.41169951996284,123.51723453694545,123.59680938720703,5403400,0.0,0.0,0.0,115.01590642284596,115.02512772261505,114.37928478077201,114.50845336914062,6798500,0.0,0.0,0.0,178.7874918945361,178.7874918945361,176.98127066268836,177.10818481445312,8100,0.0,0.0,0.0
2021-05-26 00:00:00-04:00,148.10374625449288,148.61690310337474,147.2254663893345,148.60702514648438,2704200,0.0,0.0,0.0,123.97478439282871,126.42165423876504,123.71616991161326,126.28240203857422,4465200,0.0,0.0,0.0,114.4807606592698,114.51766697107719,113.35514278620192,113.8441390991211,6848800,0.0,0.0,0.0,177.98691101409904,177.98691101409904,177.08867936578298,177.44992065429688,15300,0.0,0.0,0.0
2021-05-27 00:00:00-04:00,148.78468322753906,149.19915091177253,147.72876562938515,148.78468322753906,3715300,0.0,0.0,0.0,127.05823223541596,128.00316651026074,125.64581278856319,127.90369415283203,4102700,0.0,0.0,0.0,114.08403571965742,114.17629798696645,113.53045507664349,113.59503936767578,8102900,0.0,0.0,0.0,176.8641225718794,178.40674275916538,176.70791937271676,178.02597045898438,7700,0.0,0.0,0.0
2021-05-28 00:00:00-04:00,149.69255628473437,151.9227913000473,149.54452244230848,149.94912719726562,3201400,0.0,0.0,0.0,128.29161381322126,130.59923897636094,127.01844654298938,127.41632080078125,6459400,0.0,0.0,0.0,114.02869737974093,114.97901935203683,113.9641130747462,114.03792572021484,10059900,0.0,0.0,0.0,178.37743040172134,181.81415359609852,178.37743040172134,179.79312133789062,4500,0.0,0.0,0.0
2021-06-01 00:00:00-04:00,150.99518028440332,150.99518028440332,147.79785378860174,148.9129638671875,3262100,0.0,0.0,0.0,128.03300491503276,128.03300491503276,125.28773328884931,125.77511596679688,5179000,0.0,0.0,0.0,114.17630363835578,114.21320995493811,112.07269286728442,112.16495513916016,13368300,0.0,0.0,0.0,180.76947126513096,180.76947126513096,177.59636404947454,178.1626434326172,8500,0.0,0.0,0.0
2021-06-02 00:00:00-04:00,149.11033228833017,150.1168901613647,148.2221743877049,149.09059143066406,3364800,0.0,0.0,0.0,126.54100790933562,127.26710753396972,124.82023785453008,126.56089782714844,5226100,0.0,0.0,0.0,112.26645635271693,112.5524715342918,111.67596930995288,111.94353485107422,13245100,0.0,0.0,0.0,178.02595365646994,179.6466827392578,178.02595365646994,179.6466827392578,4400,0.0,0.0,0.0
2021-06-03 00:00:00-04:00,148.56757784820405,149.49520244508375,147.1860038531987,148.8932342529297,3041600,0.0,0.0,0.0,126.07353208038165,126.79963939114421,124.4124467334254,126.08348083496094,4886000,0.0,0.0,0.0,111.52833494869857,112.58014034792832,111.27922610747477,112.28489685058594,13244400,0.0,0.0,0.0,178.99252976687606,179.79312133789062,177.68423689608656,179.79312133789062,4600,0.0,0.0,0.0
2021-06-04 00:00:00-04:00,150.0280814690474,151.81424514305814,149.7123030302708,151.0050506591797,3746600,0.0,0.0,0.0,126.43161135847329,127.4760105176866,125.74529147735161,126.08348083496094,4303800,0.0,0.0,0.0,112.87540411674384,113.20755399080036,112.5155762597095,112.64474487304688,11228900,0.0,0.0,0.0,180.91593276941074,183.31772252316443,180.91593276941074,182.8783721923828,5400,0.0,0.0,0.0
2021-06-07 00:00:00-04:00,151.25176206091407,159.69904253252463,150.98531317440464,156.19578552246094,15198800,0.0,0.0,0.0,126.58080702163367,133.2450532282149,126.20283025021199,131.90225219726562,15591000,0.0,0.0,0.0,112.921528724826,114.04714686009011,112.72777582207476,113.05069732666016,13978500,0.0,0.0,0.0,183.93282398611737,195.043585925992,183.60087172338703,189.4882049560547,120600,0.0,0.0,0.0
2021-06-08 00:00:00-04:00,157.13329466580768,157.74514089904434,153.5412258846486,155.99844360351562,3986400,0.0,0.0,0.0,132.96652304637246,134.00098091391715,129.12713899993554,132.74771118164062,7540600,0.0,0.0,0.0,113.32750483312779,113.3920891418085,111.83283035330915,112.70011138916016,10799500,0.0,0.0,0.0,191.089406471166,191.089406471166,186.37367901666784,188.9707489013672,15300,0.0,0.0,0.0
