nct_id,title,status,phase,start_date,completion_date,enrollment,sponsor_name,sponsor_type,outcome,primary_drug,all_drugs,intervention_type,disease,collection_date
NCT02565082,Evaluation of the Hemostatic Potential in Sickle Cell Disease Patients,COMPLETED,NA,2015-09,2016-07,64,Brugmann University Hospital,OTHER,Success,,,OTHER,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT02580773,Therapeutic Anticoagulation Strategy for Acute Chest Syndrome,COMPLETED,Phase 3,2016-12-16,2021-09-15,198,Assistance Publique - Hôpitaux de Paris,OTHER,Success,Prophylactic anticoagulation ( INNOHEP®),Prophylactic anticoagulation ( INNOHEP®); Curative anticoagulation ( INNOHEP®),DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT01534676,Effects of Transfusion of Older Stored Red Cells,TERMINATED,NA,2012-02,2013-03,3,Columbia University,OTHER,Failure,,,PROCEDURE,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT07001189,Impact of Regional Anesthesia on Inflammatory Mechanisms During Vaso-occlusive Crisis in Sickle Cell Patients,RECRUITING,,2025-02-05,2027-02-05,34,Centre Hospitalier Universitaire de la Guadeloupe,OTHER,Ongoing,,,,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT00235391,Expanded Access of Deferasirox to Patients With Congenital Disorders of Red Blood Cells and Chronic Iron Overload,COMPLETED,Phase 3,2005-10,2008-10,1683,Novartis Pharmaceuticals,INDUSTRY,Success,Deferasirox,Deferasirox,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT00004797,Pilot Study of Fructose for Sickle Cell Crisis,COMPLETED,NA,1995-08,,20,National Center for Research Resources (NCRR),NIH,Success,fructose,fructose; placebo,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT02179359,Hematopoietic Stem Cell Transplant for High Risk Hemoglobinopathies,TERMINATED,NA,2014-09-02,2024-11-21,38,"Masonic Cancer Center, University of Minnesota",OTHER,Failure,Reduced Toxicity Ablative Regimen,Reduced Toxicity Ablative Regimen; Reduced Intensity Preparative Regimen; Myeloablative Preparative Regimen,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT06820515,ATHNdataset Registry,RECRUITING,,2024-10-25,2055-10-31,200000,American Thrombosis and Hemostasis Network,NETWORK,Ongoing,,,,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT02448121,Autologous Bone Marrow Stem Cell Transplantation for Osteonecrosis in Sickle Cell Disease,UNKNOWN,Phase 1; Phase 2,2006-08,2018-08,100,Federal University of Bahia,OTHER,Unknown,,,PROCEDURE,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT01850108,Non-Myeloablative Conditioning and Bone Marrow Transplantation,UNKNOWN,NA,2013-05,2024-12-31,26,Vanderbilt-Ingram Cancer Center,OTHER,Unknown,Thymoglobulin,Thymoglobulin; Fludarabine; Cyclophosphamide (CTX),DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT03903133,Endothelial Monocyte-activating Polypeptide-II in Egyptian Sickle Patients,COMPLETED,Phase 4,2016-06-01,2023-05-01,50,Ain Shams University,OTHER,Success,Vitamin E,Vitamin E,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT02867800,Abatacept for GVHD Prophylaxis After Hematopoietic Stem Cell Transplantation for Pediatric Sickle Cell Disease,COMPLETED,Phase 1,2016-07,2023-12-30,24,Monica Bhatia,OTHER,Success,Diphenhydramine,Diphenhydramine; Acetaminophen; Methylprednisolone,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT01049854,CD34+Selection for Partially Matched Family or Matched Unrelated Adult Donor Transplant,COMPLETED,Phase 2,2011-09,2018-08,20,New York Medical College,OTHER,Success,Full Intensity with TBI,Full Intensity with TBI; Full Intensity; Reduced Intensity,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT02447627,Study of Methodologies to Measure Blood Flow and Oxygenation in Adults With Sickle Cell Disease,COMPLETED,,2015-06,2016-10,38,Bioverativ Therapeutics Inc.,INDUSTRY,Success,,,,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT02197845,Enhancing Use of Hydroxyurea In Sickle Cell Disease Using Patient Navigators,COMPLETED,NA,2012-10,2018-12-31,353,Virginia Commonwealth University,OTHER,Success,,,BEHAVIORAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT05758766,Study on Use of Omega-3 Fatty Acids to Improve Outcomes in Individuals With Sickle Cell Disease,ACTIVE_NOT_RECRUITING,NA,2023-08-30,2026-12-30,30,University of Alabama at Birmingham,OTHER,Success,,,DIETARY_SUPPLEMENT,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT01058473,Psychometric Evaluation of the IPPAQ in Pediatric Patients With Sickle Cell Disease Hospitalized With Vasoocclusive Pain,COMPLETED,,2010-01,2012-12,159,Connecticut Children's Medical Center,OTHER,Success,,,,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT04181944,Qualitative Survey of Potential Exercise Activity in Adults With Sickle Cell Anemia (SCA),COMPLETED,NA,2020-06-14,2022-10-01,115,Memorial Healthcare System,OTHER,Success,,,OTHER,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT00971698,The Spleen in Sickle Cell Anemia and Sickle Cell Thalassemia,COMPLETED,,2009-02,2010-08,50,"HaEmek Medical Center, Israel",OTHER,Success,,,,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT03682211,Intranasal Fentanyl Versus Intravenous Morphine in the Treatment of Severe Painful Sickle Cell Crises in Children,COMPLETED,Phase 4,2012-12-12,2013-11-14,31,University College Dublin,OTHER,Success,Fentanyl Citrate,Fentanyl Citrate; Morphine sulphate,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT01954927,Pain Management in Children and Young Adults With Sickle Cell Disease,COMPLETED,Phase 2,2013-10-07,2018-01-03,90,St. Jude Children's Research Hospital,OTHER,Success,Gabapentin,Gabapentin; Placebo,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT04819841,Gene Correction in Autologous CD34+ Hematopoietic Stem Cells (HbS to HbA) to Treat Severe Sickle Cell Disease,RECRUITING,Phase 1; Phase 2,2021-11-15,2028-12-31,15,Kamau Therapeutics,INDUSTRY,Ongoing,,,GENETIC,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT04523376,Pilot Study PBSCT With TCRab Depletion For Hemoglobinopathies,COMPLETED,NA,2020-05-14,2025-10-01,8,Timothy Olson,OTHER,Success,,,DEVICE,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT02895841,Patient-Empowered Mobile Technology in Hospitalized Patients (TRU-PAIN),COMPLETED,NA,2016-08,2024-04-22,174,Duke University,OTHER,Success,,,OTHER,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT06251843,Support Strategies for Parents During the First Year Following Their Child's Diagnosis of Sickle Cell Disorder,UNKNOWN,,2024-05,2025-02-28,30,King's College London,OTHER,Unknown,,,,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT04694976,"Vitamin D Status in Children With Sickle Cell Disease Living in Lyon, France",COMPLETED,,2021-02-04,2022-02-03,130,Hospices Civils de Lyon,OTHER,Success,,,BIOLOGICAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT03492931,"PK Study of Ticagrelor in Children Aged Less Than 24 Months, With Sickle Cell Disease (HESTIA4)",COMPLETED,Phase 1,2018-03-28,2019-05-07,21,AstraZeneca,INDUSTRY,Success,Ticagrelor,Ticagrelor,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT04484272,A Stress and Pain Self-management m-Health App for Adult Outpatients With Sickle Cell Disease,RECRUITING,NA,2021-04-29,2026-06-30,185,University of Florida,OTHER,Ongoing,,,BEHAVIORAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT00968162,Sickle Cell Disease Conditioning for Bone Marrow Transplant,COMPLETED,Phase 1,2009-02,2016-01-11,8,Emory University,OTHER,Success,fludarabine,fludarabine,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT02604368,A Sickle CEll Disease ComplicatioN Trial,UNKNOWN,Phase 3,2019-03,2020-12,210,Micelle BioPharma Inc,INDUSTRY,Unknown,SC411,SC411; Placebo,DRUG,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT04416178,Sickle Cell Disease and the Genomic and Gene Therapy Needs of Stakeholders,RECRUITING,,2020-12-17,2026-12,352,St. Jude Children's Research Hospital,OTHER,Ongoing,,,,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT01369160,Curative Versus Disease-Modifying Therapies in Children With Severe Sickle Cell Disease,COMPLETED,,2005-05,2014-03,33,Emory University,OTHER,Success,,,BEHAVIORAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT00066079,Home Based Massage and Relaxation for Sickle Cell Pain,COMPLETED,Phase 2,2003-08,2006-11,30,National Center for Complementary and Integrative Health (NCCIH),NIH,Success,,,PROCEDURE,sickle cell disease,2026-05-24T07:54:09.120536+00:00
NCT03666806,"Preventing Stroke Triggers in Children With Sickle Cell Anaemia in Mulago Hospital, Kampala (PREST ): a Randomized Control Trial",UNKNOWN,Phase 2; Phase 3,2018-08-22,2019-12,150,Makerere University,OTHER,Unknown,,,BIOLOGICAL,sickle cell disease,2026-05-24T07:54:09.120536+00:00
