disease,prevalence_per_100k,total_us_patients,source,orpha_code,icd10_code,notes,collection_date
sickle cell disease,30.0,100499,Orphanet + CDC,ORPHA232,D57,U.S. prevalence; higher in African American population,2026-05-24T03:43:23.162743
systemic lupus erythematosus,73.0,244550,Orphanet ORPHA536,ORPHA536,M32,Higher in women (9:1 ratio),2026-05-24T03:43:23.162752
hidradenitis suppurativa,100.0,335000,Published literature (Jemec 2012),,L73.2,Estimated 0.1-1% of population,2026-05-24T03:43:23.162757
diabetic nephropathy,1200.0,4020000,CDC + USRDS,,E11.21,~40% of diabetics develop nephropathy,2026-05-24T03:43:23.162760
multiple sclerosis,309.0,1035150,National MS Society,ORPHA802,G35,~1 million in U.S.,2026-05-24T03:43:23.162762
rheumatoid arthritis,1100.0,3685000,CDC Arthritis Data,,M05-M06,~1.3 million adults in U.S.,2026-05-24T03:43:23.162764
crohn's disease,201.0,673350,CDC IBD Data,ORPHA206,K50,"~780,000 in U.S.",2026-05-24T03:43:23.162766
psoriasis,3200.0,10720000,National Psoriasis Foundation,,L40,~8 million in U.S.,2026-05-24T03:43:23.162768
ulcerative colitis,238.0,797300,CDC IBD Data,ORPHA279,K51,"~907,000 in U.S.",2026-05-24T03:43:23.162770
ankylosing spondylitis,200.0,670000,Spondylitis Association,ORPHA956,M45,~0.2-0.5% of population,2026-05-24T03:43:23.162771
atopic dermatitis,10000.0,33500000,National Eczema Association,,L20,~31 million in U.S. (all ages),2026-05-24T03:43:23.162773
type 1 diabetes,550.0,1842500,CDC Diabetes Data,,E10,~1.9 million in U.S.,2026-05-24T03:43:23.162775
celiac disease,1000.0,3350000,Celiac Disease Foundation,ORPHA36,K90.0,~1% of population,2026-05-24T03:43:23.162777
inflammatory bowel disease,439.0,1470650,CDC IBD Data,,K50-K51,Includes Crohn's + UC,2026-05-24T03:43:23.162778
autoimmune hepatitis,17.0,56950,Orphanet ORPHA2137,ORPHA2137,K75.4,Rare disease,2026-05-24T03:43:23.162780
