disease,brand_name,generic_name,manufacturer,application_number,search_term,source,collection_date
sickle cell disease,Lyfgenia,LOVOTIBEGLOGENE AUTOTEMCEL,Genetix Biotherapeutics Inc.,BLA125788,sickle cell,openFDA,2026-05-24T03:44:24.419641
sickle cell disease,OXBRYTA,VOXELOTOR,"Global Blood Therapeutics, Inc, A subsidiary of Pfizer Inc.",NDA213137,sickle cell,openFDA,2026-05-24T03:44:24.419673
sickle cell disease,L-glutamine,L-GLUTAMINE,Renova Pharmaceuticals LLC,ANDA219750,sickle cell,openFDA,2026-05-24T03:44:24.419679
sickle cell disease,DROXIA,HYDROXYUREA,Waylis Therapeutics LLC,NDA016295,sickle cell,openFDA,2026-05-24T03:44:24.419682
sickle cell disease,XROMI,HYDROXYUREA,"Nova Laboratories, Ltd.",NDA216593,sickle cell,openFDA,2026-05-24T03:44:24.419686
sickle cell disease,Siklos,HYDROXYUREA,Medunik,NDA208843,sickle cell,openFDA,2026-05-24T03:44:24.419691
sickle cell disease,CASGEVY,EXAGAMGLOGENE AUTOTEMCEL,Vertex Pharmaceuticals Incorporated,BLA125787,sickle cell,openFDA,2026-05-24T03:44:24.419694
sickle cell disease,FERRIPROX,DEFERIPRONE,"Chiesi USA, Inc.",NDA021825,sickle cell,openFDA,2026-05-24T03:44:24.419696
sickle cell disease,ADAKVEO,CRIZANLIZUMAB,Novartis Pharmaceuticals Corporation,BLA761128,sickle cell,openFDA,2026-05-24T03:44:24.419701
sickle cell disease,L-Glutamine,L-GLUTAMINE,"ANI Pharmaceuticals, Inc.",ANDA215647,sickle cell,openFDA,2026-05-24T03:44:24.419705
sickle cell disease,Endari,GLUTAMINE,"Emmaus Medical, Inc.",NDA208587,sickle cell,openFDA,2026-05-24T03:44:24.419707
systemic lupus erythematosus,PredniSONE,PREDNISONE,A-S Medication Solutions,ANDA080352,lupus,openFDA,2026-05-24T03:44:30.957939
systemic lupus erythematosus,Prednisone,PREDNISONE,Bryant Ranch Prepack,ANDA040584,lupus,openFDA,2026-05-24T03:44:30.957955
systemic lupus erythematosus,Betaloan SUIK,BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE,"Advanced Rx Pharmacy of Tennessee, LLC",,lupus,openFDA,2026-05-24T03:44:30.957962
systemic lupus erythematosus,Prednisone delayed release,PREDNISONE,Dr. Reddys Laboratories Inc.,ANDA219477,lupus,openFDA,2026-05-24T03:44:30.957966
systemic lupus erythematosus,Dyural 40 Kit,"METHYLPREDNISOLONE ACETATE, LIDOCAINE HYDROCHLORIDE, BUPIVACAINE HYDROCHLORIDE, POVIDINE IODINE, SODIUM CHLORIDE, ISOPROPYL ALCOHOL","Advanced Rx Pharmacy of Tennessee, LLC",,lupus,openFDA,2026-05-24T03:44:30.957968
systemic lupus erythematosus,Dyural 80 Kit,"METHYLPREDNISOLONE ACETATE, LIDOCAINE HYDROCHLORIDE, BUPIVACAINE HYDROCHLORIDE, POVIDINE IODINE, SODIUM CHLORIDE, ISOPROPYL ALCOHOL","Advanced Rx Pharmacy of Tennessee, LLC",,lupus,openFDA,2026-05-24T03:44:30.957971
systemic lupus erythematosus,Dyural 80-LM,"METHYLPREDNISOLONE ACETATE, LIDOCAINE HYDROCHLORIDE, BUPIVACAINE HYDROCHLORIDE, POVIDINE IODINE, ISOPROPYL ALCOHOL","Advanced Rx Pharmacy of Tennessee, LLC",,lupus,openFDA,2026-05-24T03:44:30.957973
systemic lupus erythematosus,Bupivilog Kit,"MARCAINE, KENALOG, POVIDONE IODINE","Advanced Rx of Tennessee, LLC",,lupus,openFDA,2026-05-24T03:44:30.957975
systemic lupus erythematosus,Dexamethasone,DEXAMETHASONE,"Advanced Rx Pharmacy of Tennessee, LLC",ANDA201270,lupus,openFDA,2026-05-24T03:44:30.957977
