disease,prevalence_per_100k,total_us_patients,avg_annual_cost_usd,total_market_size_usd,market_size_millions
sickle cell disease,30.0,100499,50000,5024999999,5025.0
systemic lupus erythematosus,73.0,244550,30000,7336500000,7336.5
hidradenitis suppurativa,100.0,335000,15000,5025000000,5025.0
diabetic nephropathy,1200.0,4020000,25000,100500000000,100500.0
multiple sclerosis,309.0,1035150,80000,82812000000,82812.0
rheumatoid arthritis,1100.0,3685000,25000,92125000000,92125.0
crohn's disease,201.0,673350,30000,20200500000,20200.5
psoriasis,3200.0,10720000,15000,160800000000,160800.0
ulcerative colitis,238.0,797300,30000,23919000000,23919.0
ankylosing spondylitis,200.0,670000,25000,16750000000,16750.0
atopic dermatitis,10000.0,33500000,5000,167500000000,167500.0
type 1 diabetes,550.0,1842500,15000,27637500000,27637.5
celiac disease,1000.0,3350000,3000,10050000000,10050.0
inflammatory bowel disease,439.0,1470650,30000,44119500000,44119.5
autoimmune hepatitis,17.0,56950,40000,2278000000,2278.0
