strategy,ticker,weight
Equal Weight,CRSP,0.1
Equal Weight,VRTX,0.1
Equal Weight,BEAM,0.1
Equal Weight,NTLA,0.1
Equal Weight,EDIT,0.1
Equal Weight,NVS,0.1
Equal Weight,PFE,0.1
Equal Weight,BMY,0.1
Equal Weight,EMMS,0.1
Equal Weight,SGMO,0.1
Minimum Variance,CRSP,0.0096
Minimum Variance,VRTX,0.1149
Minimum Variance,BEAM,0.0
Minimum Variance,NTLA,0.0
Minimum Variance,EDIT,0.0
Minimum Variance,NVS,0.5086
Minimum Variance,PFE,0.1507
Minimum Variance,BMY,0.2069
Minimum Variance,EMMS,0.0093
Minimum Variance,SGMO,0.0
Risk Parity,CRSP,0.0556
Risk Parity,VRTX,0.1772
Risk Parity,BEAM,0.0457
Risk Parity,NTLA,0.0457
Risk Parity,EDIT,0.0386
Risk Parity,NVS,0.1827
Risk Parity,PFE,0.1843
Risk Parity,BMY,0.1843
Risk Parity,EMMS,0.0443
Risk Parity,SGMO,0.0416
Max Sortino,CRSP,0.0
Max Sortino,VRTX,0.1913
Max Sortino,BEAM,0.0
Max Sortino,NTLA,0.0
Max Sortino,EDIT,0.0
Max Sortino,NVS,0.6636
Max Sortino,PFE,0.0
Max Sortino,BMY,0.0
Max Sortino,EMMS,0.1451
Max Sortino,SGMO,0.0
Max Calmar,CRSP,0.0
Max Calmar,VRTX,0.0
Max Calmar,BEAM,0.0
Max Calmar,NTLA,0.0
Max Calmar,EDIT,0.0
Max Calmar,NVS,0.0
Max Calmar,PFE,0.0
Max Calmar,BMY,0.0
Max Calmar,EMMS,1.0
Max Calmar,SGMO,0.0
Min Drawdown,CRSP,0.019
Min Drawdown,VRTX,0.2425
Min Drawdown,BEAM,0.0248
Min Drawdown,NTLA,0.0
Min Drawdown,EDIT,0.0
Min Drawdown,NVS,0.5283
Min Drawdown,PFE,0.0625
Min Drawdown,BMY,0.1088
Min Drawdown,EMMS,0.0002
Min Drawdown,SGMO,0.014
