fold_id,strategy,train_start,train_end,test_start,test_end,n_test_days,annual_return,volatility,sharpe_ratio,max_drawdown
0,Equal weight,2021-05-18,2023-04-30,2023-05-31,2023-10-31,106,-0.3381,0.2885,-1.241,-0.2714
0,Health-tilt demo,2021-05-18,2023-04-30,2023-05-31,2023-10-31,106,-0.7138,0.3289,-2.231,-0.3572
1,Equal weight,2021-05-18,2023-10-31,2023-11-30,2024-04-30,103,-0.078,0.3552,-0.276,-0.283
1,Health-tilt demo,2021-05-18,2023-10-31,2023-11-30,2024-04-30,103,-0.4957,0.4899,-1.053,-0.3913
2,Equal weight,2021-05-18,2024-04-30,2024-05-31,2024-10-31,106,0.3178,0.3144,0.947,-0.1489
2,Health-tilt demo,2021-05-18,2024-04-30,2024-05-31,2024-10-31,106,-0.3679,0.4098,-0.947,-0.2976
3,Equal weight,2021-05-18,2024-10-31,2024-11-30,2025-04-30,101,-0.3896,0.4463,-0.918,-0.3129
3,Health-tilt demo,2021-05-18,2024-10-31,2024-11-30,2025-04-30,101,-0.3304,0.6825,-0.513,-0.4599
4,Equal weight,2021-05-18,2025-04-30,2025-05-31,2025-10-31,106,1.0453,0.4282,2.395,-0.1782
4,Health-tilt demo,2021-05-18,2025-04-30,2025-05-31,2025-10-31,106,1.3074,0.6085,2.116,-0.2564
5,Equal weight,2021-05-18,2025-10-31,2025-11-30,2026-04-30,103,0.2061,0.4268,0.436,-0.1339
5,Health-tilt demo,2021-05-18,2025-10-31,2025-11-30,2026-04-30,103,0.5114,0.5603,0.877,-0.2331
