phase,enrollment_log,sponsor_type,mechanism_id,duration_months,disease_trial_rate,prior_approvals,disease_prevalence_log,phase_success_rate,success,disease,raw_probability
2,5.8377304471659395,1,13,34,0.525,4,5.071882007306125,0.36,0,Sickle Cell Disease,0.49148202755372566
3,4.997212273764115,1,12,74,1.6,8,6.0,0.58,0,Multiple Sclerosis,0.7752631200395321
3,5.5254529391317835,0,10,69,1.6,8,6.0,0.58,1,Multiple Sclerosis,0.8518145365937076
2,4.812184355372417,0,14,66,0.475,3,7.505149978319906,0.36,0,Food Allergy & Anaphylaxis,0.5629425429372583
1,5.598421958998375,0,13,46,0.425,2,5.079181246047625,0.64,1,Autoimmune Liver Diseases,0.6961437263473542
3,4.454347296253507,0,12,72,0.475,3,7.505149978319906,0.58,1,Food Allergy & Anaphylaxis,0.7242073868584448
2,4.110873864173311,1,2,61,0.9,5,7.3979400086720375,0.36,0,Diabetic Nephropathy,0.4494587188117005
1,4.290459441148391,1,11,43,0.425,2,5.079181246047625,0.64,1,Autoimmune Liver Diseases,0.580241463318065
1,5.75890177387728,0,11,44,0.7,3,5.301029995663981,0.64,1,Systemic Lupus Erythematosus,0.7511952680466077
3,4.499809670330265,1,11,63,0.9,5,7.3979400086720375,0.58,1,Diabetic Nephropathy,0.725839975853869
2,3.1780538303479458,1,11,55,0.9,5,7.3979400086720375,0.36,0,Diabetic Nephropathy,0.40151620149705297
1,4.634728988229636,1,9,50,0.525,4,5.071882007306125,0.64,1,Sickle Cell Disease,0.8043234646981425
1,4.007333185232471,0,14,43,0.475,3,7.505149978319906,0.64,1,Food Allergy & Anaphylaxis,0.8395240263621426
3,5.700443573390687,1,9,70,0.525,4,5.071882007306125,0.58,1,Sickle Cell Disease,0.792929498359199
1,3.713572066704308,1,0,37,0.325,2,5.176091259055681,0.64,1,Hidradenitis Suppurativa,0.6255187967396256
2,5.7430031878094825,0,2,49,0.475,3,7.505149978319906,0.36,0,Food Allergy & Anaphylaxis,0.5397311363095573
1,3.58351893845611,2,6,45,0.425,2,5.079181246047625,0.64,0,Autoimmune Liver Diseases,0.4641755604417328
3,4.624972813284271,1,4,56,0.9,5,7.3979400086720375,0.58,1,Diabetic Nephropathy,0.732164183209325
3,5.937536205082426,0,1,70,0.525,4,5.071882007306125,0.58,1,Sickle Cell Disease,0.7848195338149082
3,5.093750200806762,1,3,68,0.9,5,7.3979400086720375,0.58,1,Diabetic Nephropathy,0.7557879741288812
2,3.8918202981106265,1,9,56,0.525,4,5.071882007306125,0.36,0,Sickle Cell Disease,0.46330154124599
1,6.621405651764134,1,5,35,0.7,3,5.301029995663981,0.64,0,Systemic Lupus Erythematosus,0.81441181769378
1,5.71042701737487,0,9,27,0.475,3,7.505149978319906,0.64,1,Food Allergy & Anaphylaxis,0.9254303372713727
1,7.207118856207756,1,13,46,0.9,5,7.3979400086720375,0.64,1,Diabetic Nephropathy,0.9317270219408746
1,4.127134385045092,1,8,35,0.9,5,7.3979400086720375,0.64,1,Diabetic Nephropathy,0.8469518505759276
3,4.836281906951478,1,14,49,0.325,2,5.176091259055681,0.58,1,Hidradenitis Suppurativa,0.6904905108990438
2,6.955592608396297,1,4,63,0.525,4,5.071882007306125,0.36,0,Sickle Cell Disease,0.5474734339446448
1,4.219507705176107,0,3,33,0.475,3,7.505149978319906,0.64,0,Food Allergy & Anaphylaxis,0.7803094550034771
3,5.438079308923196,1,5,65,0.475,3,7.505149978319906,0.58,0,Food Allergy & Anaphylaxis,0.7937609242116409
1,3.6635616461296463,2,2,43,0.7,3,5.301029995663981,0.64,0,Systemic Lupus Erythematosus,0.5152874653535814
3,5.327876168789581,0,15,68,1.6,8,6.0,0.58,1,Multiple Sclerosis,0.9118919896575158
1,6.70073110954781,0,6,29,0.325,2,5.176091259055681,0.64,1,Hidradenitis Suppurativa,0.8260498410420127
3,4.820281565605037,0,2,80,0.525,4,5.071882007306125,0.58,0,Sickle Cell Disease,0.7286840418025498
1,5.720311776607412,2,3,41,0.525,4,5.071882007306125,0.64,1,Sickle Cell Disease,0.7089262091042401
1,5.111987788356544,1,0,21,0.475,3,7.505149978319906,0.64,1,Food Allergy & Anaphylaxis,0.7753720977289579
2,4.060443010546419,1,11,63,0.475,3,7.505149978319906,0.36,0,Food Allergy & Anaphylaxis,0.40489405409232293
1,5.54907608489522,0,2,38,1.6,8,6.0,0.64,1,Multiple Sclerosis,0.9250003629245735
3,4.844187086458591,2,11,63,0.9,5,7.3979400086720375,0.58,1,Diabetic Nephropathy,0.6632222527148359
1,5.111987788356544,1,10,67,0.7,3,5.301029995663981,0.64,1,Systemic Lupus Erythematosus,0.6687054310622912
3,3.4011973816621555,1,15,69,0.7,3,5.301029995663981,0.58,1,Systemic Lupus Erythematosus,0.5937729488665858
3,2.70805020110221,1,14,55,0.325,2,5.176091259055681,0.58,0,Hidradenitis Suppurativa,0.5810276905146917
2,4.060443010546419,1,10,36,1.6,8,6.0,0.36,1,Multiple Sclerosis,0.4638940540923229
1,3.8066624897703196,1,4,71,0.9,5,7.3979400086720375,0.64,1,Diabetic Nephropathy,0.760617639063175
1,6.912742820493176,0,10,39,0.9,5,7.3979400086720375,0.64,1,Diabetic Nephropathy,0.95
1,4.867534450455582,0,2,39,0.425,2,5.079181246047625,0.64,1,Autoimmune Liver Diseases,0.6593987775853458
1,5.529429087511423,1,2,43,0.7,3,5.301029995663981,0.64,1,Systemic Lupus Erythematosus,0.6896808043238514
3,4.219507705176107,0,8,65,0.475,3,7.505149978319906,0.58,1,Food Allergy & Anaphylaxis,0.7823094550034773
2,4.174387269895637,0,9,56,0.425,2,5.079181246047625,0.36,1,Autoimmune Liver Diseases,0.43768564486857897
1,5.541263545158426,0,14,51,0.525,4,5.071882007306125,0.64,0,Sickle Cell Disease,0.8999415373848558
3,5.303304908059076,1,16,63,0.7,3,5.301029995663981,0.58,1,Systemic Lupus Erythematosus,0.6203240256946639
2,6.6293632534374485,1,9,51,1.6,8,6.0,0.36,1,Multiple Sclerosis,0.663143559509572
